Character/Name/ArtanisUI,亞坦尼斯=0
Conversation/Challengescombined/Line00035,首先是把你的戰士們編制成不同的編隊。查看所有的可用單位，並把它們分成威力強大的攻擊隊伍。=113
Conversation/Challengescombined/Line00036,你可看到你的單位駐紮遍及模擬區域。它們在你準備好開始之前將會處於靜止的狀態。=114
Conversation/Challengescombined/Line00037,第一回合=115
Conversation/Challengescombined/Line00038,歡迎回來，指揮官。強大的經濟是通往勝利的關鍵，而有效率的資源採集則是發展出強大經濟的關鍵。=116
Conversation/Challengescombined/Line00039,在這次練習中，將會考驗你的基地管理技巧。先從收集足夠的資源，將勢力範圍擴張到附近的資源區著手吧。=117
Conversation/Challengescombined/Line00040,在資源區當地建造第二個指揮中心，將能有效地加快資源獲得的速度。=118
Conversation/Challengescombined/Line00041,在時間結束前訓練一支軍隊以完成這次練習。=119
Conversation/Challengescombined/Line00042,早安，指揮官。這次練習的目標是在敵人的多重攻擊波中存活下來。=120
Conversation/Challengescombined/Line00043,運用現有兵力抵禦敵軍的每一波攻擊將會是種挑戰。直接控制單位的行動將會是致勝的關鍵。=121
Conversation/Challengescombined/Line00044,按下「準備完成」即可開始。=122
Conversation/Challengescombined/Line00045,歡迎，指揮官。這次練習的目標，是運用你所分配到的攻城坦克和醫療運輸艇造成最大的傷害。=123
Conversation/Challengescombined/Line00046,你必須在有限的時間內盡可能地摧毀敵方基地。建議你在進攻前先用醫療艇偵察敵方的基地。=124
Conversation/Challengescombined/Line00047,在按下「準備完成」前，無法對敵方造成傷害，所以請先仔細偵察形勢。=125
Conversation/Challengescombined/Line00048,一旦準備好，即展開快速攻擊！在時間結束以前盡可能地消滅敵人！=126
Conversation/Challengescombined/Line00049,第一回合=127
Conversation/Challengescombined/Line00050,第二回合=128
Conversation/Challengescombined/Line00051,第二回合=129
Conversation/Challengescombined/Line00052,第三回合=130
Conversation/Challengescombined/Line00053,第三回合=131
Conversation/Challengescombined/Line00054,新紀錄！=132
Conversation/Challengescombined/Line00055,新紀錄！=133
Conversation/Challengescombined/Line00056,第四回合=134
Conversation/Challengescombined/Line00057,第五回合=135
Conversation/Challengescombined/Line00058,第六回合=136
Conversation/Challengescombined/Line00059,第七回合=137
Conversation/Challengescombined/Line00060,第八回合=138
Conversation/Challengescombined/Line00061,第九回合=139
Conversation/Challengescombined/Line00062,第十回合=140
Conversation/Challengescombined/Line00063,第四回合=141
Conversation/Challengescombined/Line00064,第五回合=142
Conversation/Challengescombined/Line00065,第六回合=143
Conversation/Challengescombined/Line00066,第七回合=144
Conversation/Challengescombined/Line00067,第八回合=145
Conversation/Challengescombined/Line00068,第九回合=146
Conversation/Challengescombined/Line00069,第十回合=147
Conversation/Challengescombined/Line00070,第四回合=148
Conversation/Challengescombined/Line00071,第五回合=149
Conversation/Challengescombined/Line00072,第六回合=150
Conversation/Challengescombined/Line00073,第七回合=151
Conversation/Challengescombined/Line00074,第八回合=152
Conversation/Challengescombined/Line00075,第九回合=153
Conversation/Challengescombined/Line00076,第十回合=154
Conversation/Challengescombined/Line00077,就緒=155
Conversation/Challengescombined/Line00078,Set=156
Conversation/Challengescombined/Line00079,出發=157
Conversation/Challengescombined/Line00080,就緒=158
Conversation/Challengescombined/Line00081,Set=159
Conversation/Challengescombined/Line00082,出發=160
Conversation/Challengescombined/Line00083,就緒=161
Conversation/Challengescombined/Line00084,Set=162
Conversation/Challengescombined/Line00085,出發=163
Conversation/Challengescombined/Line00086,在這場挑戰中，你將學習多人對戰模式下的人類防禦型開局策略。=164
Conversation/Challengescombined/Line00087,在這場挑戰中，同時會有一名模擬玩家，讓你能將自己的戰術和他的戰術比較一番。=165
Conversation/Challengescombined/Line00088,此模擬玩家將會示範如何以最佳攻守節奏和戰術來贏得勝利。=166
Conversation/Challengescombined/Line00089,你的盟友正在訓練太空工程車。=167
Conversation/Challengescombined/Line00090,你應該不斷地用指揮中心訓練太空工程車。=168
Conversation/Challengescombined/Line00091,你的盟友正在建造補給站。=169
Conversation/Challengescombined/Line00092,將指揮中心的集合點設定至附近的晶礦場。=170
Conversation/Challengescombined/Line00093,你的盟友將一個補給站建造在一個會堵住通往其基地的扼制點上。=171
Conversation/Challengescombined/Line00094,你的盟友正在建造兵營。=172
Conversation/Challengescombined/Line00095,你的盟友正在建造瓦斯精煉場。=173
Conversation/Challengescombined/Line00096,你的盟友正在訓練陸戰隊。=174
Conversation/Challengescombined/Line00097,你的盟友正使用一台太空工程車來探查敵軍位置。=175
Conversation/Challengescombined/Line00098,你的盟友正將他的指揮中心升級為星軌指揮總部。=176
Conversation/Challengescombined/Line00099,你的盟友正在召喚礦騾來提升他的經濟。=177
Conversation/Challengescombined/Line00100,恭喜你，指揮官。你成功地反制了異化蟲的快攻。=178
Conversation/Challengescombined/Line00101,祝你成功消滅敵手。=179
Conversation/Challengescombined/Line00102,你探查了敵方基地後，就能了解他正在建造哪些單位。所以你現在就會知道該採取何種反制對策。=180
Conversation/Challengescombined/Line00103,在這場挑戰中，你將學習多人對戰模式下神族的防禦型開局策略。=181
Conversation/Challengescombined/Line00104,將星核的集合點設定至附近的晶礦場。=182
Conversation/Challengescombined/Line00105,在這場挑戰中，同時會有一名模擬玩家，讓你能將自己的戰術和他的戰術比較一番。=183
Conversation/Challengescombined/Line00106,此模擬玩家將會示範如何以最佳攻守節奏和戰術來贏得勝利。=184
Conversation/Challengescombined/Line00107,你的盟友正在躍傳探測機。=185
Conversation/Challengescombined/Line00108,你應該不斷地用星核躍傳探測機。=186
Conversation/Challengescombined/Line00109,你的盟友正在躍傳水晶塔。=187
Conversation/Challengescombined/Line00110,你的盟友正在躍傳瓦斯處理廠。=188
Conversation/Challengescombined/Line00111,你的盟友正使用一台探測機來探查敵軍位置。=189
Conversation/Challengescombined/Line00112,你的盟友正在躍傳傳送門。=190
Conversation/Challengescombined/Line00113,你的盟友正在躍傳狂戰士到傳送門。=191
Conversation/Challengescombined/Line00114,你的頭兩名狂戰士應緊隨你的探測機。=192
Conversation/Challengescombined/Line00115,一旦你擁有三名狂戰士，用他們來堵住通往基地的扼制點。=193
Conversation/Challengescombined/Line00116,恭喜你，執政官。你成功地反制了異化蟲的快攻。=194
Conversation/Challengescombined/Line00117,向前衝，消滅敵軍。=195
Conversation/Challengescombined/Line00118,你探查了敵方基地後，就能了解他正在建造哪些單位。所以你現在就會知道該採取何種反制對策。=196
Conversation/Challengescombined/Line00119,在這場挑戰中，你將學習多人對戰模式下蟲族的防禦型開局策略。=197
Conversation/Challengescombined/Line00120,在這場挑戰中，同時會有一名模擬玩家，讓你能將自己的戰術和他的戰術比較一番。=198
Conversation/Challengescombined/Line00121,此模擬玩家將會示範如何以最佳攻守節奏和戰術來贏得勝利。=199
Conversation/Challengescombined/Line00122,你的盟友正將一隻幼蟲變形為工蟲。=200
Conversation/Challengescombined/Line00123,你的盟友正將一隻幼蟲變形為王蟲。=201
Conversation/Challengescombined/Line00124,將孵化所的集合點設定至附近的晶礦場。=202
Conversation/Challengescombined/Line00125,孵化所有兩個集合點，一個是工蟲的而另一個是其他單位的。=203
Conversation/Challengescombined/Line00126,你的盟友正將一隻工蟲變形為孵化池。=204
Conversation/Challengescombined/Line00127,你的盟友正使用一隻王蟲來探查敵軍位置。=205
Conversation/Challengescombined/Line00128,你的盟友正使用孵化所生產一隻后蟲。=206
Conversation/Challengescombined/Line00129,你的盟友用后蟲孵化更多幼蟲。=207
Conversation/Challengescombined/Line00130,將孵化所的集合點設定至通往基地的扼制點下方。=208
Conversation/Challengescombined/Line00131,與其他種族不同，蟲族的先鋒部隊應該部署在扼制點下方的空地作戰。=209
Conversation/Challengescombined/Line00132,你的盟友正在他的資源區變形第二個孵化所。=210
Conversation/Challengescombined/Line00133,你的盟友正派遣異化蟲去偵察地圖。=211
Conversation/Challengescombined/Line00134,恭喜。你成功地反制了異化蟲的快攻。=212
Conversation/Challengescombined/Line00135,你探查了敵方基地後，就能了解他正在建造哪些單位。所以你現在就會知道該採取何種反制對策。=213
Conversation/Challengescombined/Line00136,祝你成功消滅敵手。=214
Conversation/Challengescombined/Line00137,你必須用這些現有的生物盡可能地消滅敵人。=215
Conversation/Challengescombined/Line00138,探查敵方基地。當你準備開始突擊時，按下「準備完成」。=216
Conversation/Challengescombined/Line00139,時間非常緊迫！不要留情，造成最大的傷害！=217
Conversation/Challengescombined/Line00140,在這場模擬中無法使用指令欄，所以你必須知道使用技能和建築單位的對應熱鍵是哪些，這非常重要。=218
Conversation/Cutscene_SSF/Comment00001,Over black=219
Conversation/Cutscene_SSF/Comment00002,Images of battle between zerg and terran and protoss=220
Conversation/Cutscene_SSF/Comment00003,Cutscene of Kerrigan on Tarsonis=221
Conversation/Cutscene_SSF/Comment00004,Images of the Overmind, the zerg, or Kerrigan in her chrysalis=222
Conversation/Cutscene_SSF/Comment00005,Images of Tassadar, Artanis, and protoss fleets=223
Conversation/Cutscene_SSF/Comment00006,Images of Zeratul, Tassadar, and Artanis + protoss battling zerg=224
Conversation/Cutscene_SSF/Comment00007,Images of Zeratul and the Overmind=225
Conversation/Cutscene_SSF/Comment00008,Images of Aiur under attack/Tassadar's sacrifice=226
Conversation/Cutscene_SSF/Comment00009,Images of Kerrigan as Queen of Blades, Zeratul, and Raszagal=227
Conversation/Cutscene_SSF/Comment00010,Images of Zeratul seeking out ancient prophecy=228
Conversation/Cutscene_SSF/Comment00011,Images of Artanis being named Hierarch and ruling over the unified protoss=229
Conversation/Cutscene_SSF/Comment00012,Wings of Liberty version ending=230
Conversation/Cutscene_SSF/Comment00013,Continued version - Cutscenes of Raynor in Joeyray's bar + Tychus's arrival=231
Conversation/Cutscene_SSF/Comment00014,Images of Zeratul contacting Raynor + Raynor in the Hyperion lab looking at the Xel'Naga Artifact=232
Conversation/Cutscene_SSF/Comment00015,Images of the assault on char and the ending=233
Conversation/Cutscene_SSF/Comment00016,Heart of the Swarm version ending=234
Conversation/Cutscene_SSF/Comment00017,Continued version - Images of Kerrigan in Valerian's Lab=235
Conversation/Cutscene_SSF/Comment00018,Images of the Dominion's attack + Kerrigan hears of Raynor's death + becomes the new Queen of Blades on Zerus =236
Conversation/Cutscene_SSF/Comment00019,Images of Kerrigan attacking Korhal, the opening of Heart of the Swarm and the ending cutscene=237
Conversation/Cutscene_SSF/Comment00020,Images of Artanis and the protoss moving into Legacy of the Void=238
Conversation/Cutscene_SSF/Comment00021,END=239
Conversation/Cutscene_SSF/Group00001,Story So Far Cutscene=240
Conversation/Cutscene_SSF/Line00001,三百年來，人類以為他們是克普魯星區唯一的智慧生命體。 /// For nearly 300 years, humans thought they were alone in Koprulu sector.=241
Conversation/Cutscene_SSF/Line00002,蟲族出現了，將眼前的一切吞噬殆盡。 /// The zerg emerged, seeking to consume all in their path.=242
Conversation/Cutscene_SSF/Line00003,不久之後，名為神族的高科技種族隨之而來，消滅所有遭到感染的星球，蟲族和人類都無一倖免。 /// And before long, the protoss, a highly advanced alien race, began wiping out infested worlds, burning zerg and terran alike. =243
Conversation/Cutscene_SSF/Line00004,一夕之間... /// A three-way war... unlike anything humanity had ever faced...=244
Conversation/Cutscene_SSF/Line00005,同時...人類陷入內戰。 /// All the while... a human civil war raged.=245
Conversation/Cutscene_SSF/Line00006,吉姆‧雷諾挺身對抗獨裁者蒙斯克，兩人的恩怨來自蒙斯克背叛了他深愛的女人...莎拉‧凱莉根。 /// Marshal Jim Raynor vowed to oppose the corrupt dictator Arcturus Mengsk for the betrayal of the woman he loved... Sarah Kerrigan.=246
Conversation/Cutscene_SSF/Line00007,啊，夥伴們？不是該撤退了嗎？ /// Uh, boys? How about that evac?=247
Conversation/Cutscene_SSF/Line00008,該死，阿克圖洛斯！你不要這樣做。 /// Damn you, Arcturus! Don't do this.=248
Conversation/Cutscene_SSF/Line00009,已經決定了。舵手，發出訊號，要船艦帶我們離開軌道！立刻。 /// It's done. Helmsman, signal the fleet and take us out of orbit. Now!=249
Conversation/Cutscene_SSF/Line00010,凱莉根是名忠誠的特務，被留在蟲族占領的星球等死。 /// Kerrigan, a loyal operative, was left to die at the hands of the zerg.=250
Conversation/Cutscene_SSF/Line00011,但蟲族另有計劃。 /// But the zerg had other plans.=251
Conversation/Cutscene_SSF/Line00012,牠們轉化了凱莉根...利用她強大的幽能肆虐克普魯星區... /// They transformed her... and unleashed her psionic power upon the Koprulu Sector...=252
Conversation/Cutscene_SSF/Line00013,...以尋找牠們真正的目標... /// ...searching for their real objective...=253
Conversation/Cutscene_SSF/Line00014,神族對此毫無警覺。 /// The protoss were unaware of this danger... and slow to respond.=254
Conversation/Cutscene_SSF/Line00015,領導神族的秘密議會，派執行官亞坦尼斯追捕塔薩達... /// Their rulers, the Conclave, had dispatched Executor Artanis to hunt for Tassadar...=255
Conversation/Cutscene_SSF/Line00016,...因為他身為指揮官，卻拒絕消滅受感染的人類。 /// ...a commander who had refused to wipe out infested terran worlds.=256
Conversation/Cutscene_SSF/Line00017,他們遇到了被秘密議會視為異端的黑暗聖堂武士。 /// They crossed paths with a dark templar mystic, whose kind was considered heretics by the Conclave.=257
Conversation/Cutscene_SSF/Line00018,澤拉圖讓塔薩達和亞坦尼斯相信他並非神族的敵人。 /// Through great effort, Zeratul convinced Tassadar and Artanis that he was not their enemy.=258
Conversation/Cutscene_SSF/Line00019,他們從雙方陣營集結了更多神族，抵禦蟲族的入侵。 /// Together they rallied more protoss from both factions against the zerg.=259
Conversation/Cutscene_SSF/Line00020,雖然觸怒了秘密議會，但戰爭也獲得了空前的勝利。 /// Despite the Conclave's fury, they achieved significant victories against the Swarm.=260
Conversation/Cutscene_SSF/Line00021,然而澤拉圖殺掉蟲族主宰的腦蟲時... /// But when Zeratul struck down one of the Overmind's Cerebrates...=261
Conversation/Cutscene_SSF/Line00022,主宰讀取了他的思想，得知艾爾的位置... /// From his thoughts, the Overmind gleaned Aiur's true location...=262
Conversation/Cutscene_SSF/Line00023,蟲族傾巢而出... /// ...and the Swarm descended upon the protoss homeworld...=263
Conversation/Cutscene_SSF/Line00024,塔薩達拯救了神族，免於滅亡的命運。 /// It was Tassadar who kept the templar from extinction that day.=264
Conversation/Cutscene_SSF/Line00025,他結合了聖堂武士與黑暗聖堂武士的力量... /// Using the power of both the templar and the dark templar...=265
Conversation/Cutscene_SSF/Line00026,失去了艾爾之後 /// Aiur was lost=266
Conversation/Cutscene_SSF/Line00027,聖堂武士放下往日歧見 /// Old prejudices were set aside.=267
Conversation/Cutscene_SSF/Line00028,主宰死後，蟲群四分五裂。 /// Without the Overmind, the swarm fractured.=268
Conversation/Cutscene_SSF/Line00029,凱莉根為了控制所有的蟲族... /// Kerrigan sought control of all the zerg...=269
Conversation/Cutscene_SSF/Line00030,刀鋒女皇取得了權力之後... /// Once her rule was uncontested...=270
Conversation/Cutscene_SSF/Line00031,勢力之大，無人能敵。 /// The zerg stood unchallenged, but to the relief of all...=271
Conversation/Cutscene_SSF/Line00032,澤拉圖懷疑蟲族被一股黑暗的力量所控制。 /// Zeratul suspected the zerg had fallen under the control of dark forces.=272
Conversation/Cutscene_SSF/Line00033,他發現了預言，描述一個名為亞蒙的古老生命體... /// He uncovered prophecies stating that an ancient entity, Amon...=273
Conversation/Cutscene_SSF/Line00034,而這股邪惡的勢力... /// And that this evil might already have control...=274
Conversation/Cutscene_SSF/Line00035,在此同時，執行官亞坦尼斯被神族譽為英雄... /// It was during this time that Executor Artanis, hailed as a hero...=275
Conversation/Cutscene_SSF/Line00036,身為大主教，他團結了雙方... /// As Hierarch, Artanis united both factions...=276
Conversation/Cutscene_SSF/Line00037,但對雷諾而言，團結只是個夢想。 /// But such unity is only a dream for Jim Raynor.=277
Conversation/Cutscene_SSF/Line00038,蒙斯克仍然當權，在自治聯盟的宣傳之下，雷諾的叛亂毫無意義。 /// Mengsk still rules, and Raynor's small rebellion has counted for nothing against the Dominion's propaganda machine. =278
Conversation/Cutscene_SSF/Line00039,也許...該換個新戰術了。 /// Perhaps... it is time for a new strategy.=279
Conversation/Cutscene_SSF/Line00040,雷諾曾下定決心要殺死凱莉根... /// Raynor had vowed to see Kerrigan dead.=280
Conversation/Cutscene_SSF/Line00041,就連他對蒙斯克的反抗... /// Even his rebellion against Mengsk's tyranny...=281
Conversation/Cutscene_SSF/Line00042,不過，在老朋友與神秘的新盟友加入之後... /// But with the arrival of old friends, and mysterious new allies...=282
Conversation/Cutscene_SSF/Line00043,...接連大獲全勝。 /// ...scoring major victories on multiple fronts.=283
Conversation/Cutscene_SSF/Line00044,但澤拉圖警告他，黑暗勢力即將到來... /// But Zeratul warned him about the encroaching darkness...=284
Conversation/Cutscene_SSF/Line00045,只有刀鋒女皇。她必須活下來。 /// ...was the Queen of Blades. She was needed alive.=285
Conversation/Cutscene_SSF/Line00046,雷諾與自治聯盟的軍隊... /// In a daring raid on the zerg homeworld of Char...=286
Conversation/Cutscene_SSF/Line00047,用薩爾納加神器中和了凱莉根的力量... /// ...used an ancient xel'naga artifact to neutralize Kerrigan's power...=287
Conversation/Cutscene_SSF/Line00048,刀鋒女皇... 毫無反抗之力。 /// The Queen of Blades was helpless.=288
Conversation/Cutscene_SSF/Line00049,吉姆？ /// Jim?=289
Conversation/Cutscene_SSF/Line00050,放心。有我在。 /// It's okay. I gotcha.=290
Conversation/Cutscene_SSF/Line00051,失去女皇的蟲群分崩離析。 /// Without a leader, the Swarm fractured.=291
Conversation/Cutscene_SSF/Line00052,雷諾和凱莉根在維勒安的庇護之下... /// Raynor and Kerrigan found sanctuary with Valerian Mengsk...=292
Conversation/Cutscene_SSF/Line00053,維勒安‧蒙斯克收留了他們... /// Valerian Mengsk offered them sanctuary... =293
Conversation/Cutscene_SSF/Line00054,凱莉根和雷諾在突襲中失散。 /// During the raid, Kerrigan and Raynor were separated. =294
Conversation/Cutscene_SSF/Line00055,...經過快速審訊後，已將他立即處決。 /// ...He was briefly interrogated, and summarily executed.=295
Conversation/Cutscene_SSF/Line00056,凱莉根誓言復仇。 /// Kerrigan sought vengeance.=296
Conversation/Cutscene_SSF/Line00057,在澤拉圖的引導下，她集結了蟲族群落... /// With Zeratul's guidance, Kerrigan gathered the zerg broods...=297
Conversation/Cutscene_SSF/Line00058,蒙斯克一天不死，殺戮就不會停止。 /// The killing will never stop until Mengsk is dead.=298
Conversation/Cutscene_SSF/Line00059,凱莉根逐一擊破... /// Kerrigan began dismantling the Dominion's military...=299
Conversation/Cutscene_SSF/Line00060,讓她驚訝的是... /// To her surprise... =300
Conversation/Cutscene_SSF/Line00061,她前往蒙斯克的根據地，克哈星。 /// She charted a course to Korhal, Mengsk's stronghold. =301
Conversation/Cutscene_SSF/Line00062,但亞蒙的侵略尚未平息。 /// But there was little time to celebrate.=302
Conversation/Cutscene_SSF/Line00063,雷諾和維勒安開始重建自治聯盟... /// Raynor and Valerian Mengsk set about reforming the Dominion... =303
Conversation/Cutscene_SSF/Line00064,蟲族和人類的紛爭平息了... /// With the zerg and terrans quelled...=304
Conversation/Cutscene_SSF/Line00065,他向同胞宣布... /// He declared that the unified protoss...=305
Conversation/Cutscene_SSF/Line00066,在希望的呼聲中，反對的聲音被淹沒了。 /// Any dissenting voices went unheard amid the hope for reclamation.=306
Conversation/Cutscene_SSF/Line00067,澤拉圖獨自尋找真相... /// Zeratul set off alone, searching for the truth...=307
Conversation/Cutscene_SSF/Line00068,他們錯了。 /// They were wrong.=308
Conversation/Cutscene_SSF/Line00069,人類從未遭遇過的三方戰爭爆發了。 /// ...erupted almost overnight.=309
Conversation/Cutscene_SSF/Line00070,神族的母星，艾爾。 /// The protoss homeworld of Aiur.=310
Conversation/Cutscene_SSF/Line00071,攻入了神族家園... /// ...with all their might and fury.=311
Conversation/Cutscene_SSF/Line00072,亞坦尼斯帶著倖存者來到黑暗聖堂武士的母星夏庫拉斯。 /// ...but Artanis led the survivors to the dark templar's homeworld of Shakuras.=312
Conversation/Cutscene_SSF/Line00073,接受對方的協助。 /// The templar were now in the dark templar's debt.=313
Conversation/Cutscene_SSF/Line00074,甚至跟過去的朋友與敵人合作，找上了雷諾、蒙斯克與澤拉圖。 /// ...even enlisting the aid of old friends and enemies like Raynor, Mengsk, and Zeratul.=314
Conversation/Cutscene_SSF/Line00075,立刻背叛了所有人... /// The Queen of Blades betrayed them all...=315
Conversation/Cutscene_SSF/Line00076,蟲族屠殺了無數的人類和神族。 /// Billions of humans and protoss were killed.=316
Conversation/Cutscene_SSF/Line00077,和主宰同歸於盡。 /// He sacrificed himself to kill the Overmind.=317
Conversation/Cutscene_SSF/Line00078,他的心靈卻門戶大開。 /// ...his own mind was left vulnerable.=318
Conversation/Cutscene_SSF/Line00079,但是，戰爭也因此告一段落。 /// The war seemed to end there.=319
