Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Isza /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stiukow /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Zainfekowana Kerrigan /// Kerrigan Infested
Conversation/DEBUG_FaceAnimTest/Line00036=Zaskoczenie – minimalne /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00037=Złość – pełna /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00038=Złość – połowiczna /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00039=Złość – minimalna /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00040=Strach – pełny /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00041=Strach – połowiczny /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00042=Strach – minimalny /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00043=Zadowolenie – pełne /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00044=Zadowolenie – połowiczne /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00045=Zadowolenie – minimalne /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00046=Smutek – pełen /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00047=Smutek – połowiczny /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00048=Smutek – minimalny /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00049=Powaga – pełna /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00050=Powaga – połowiczna /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00051=Powaga – minimalna /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00052=Zaskoczenie – pełne /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00053=Zaskoczenie – połowiczne /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00054=Zaskoczenie – minimalne /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00055=Złość – pełna /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00056=Złość – połowiczna /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00057=Złość – minimalna /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00058=Strach – pełny /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00059=Strach – połowiczny /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00060=Strach – minimalny /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00061=Zadowolenie – pełne /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00062=Zadowolenie – połowiczne /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00063=Zadowolenie – minimalne /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00064=Smutek – pełen /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00065=Smutek – połowiczny /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00066=Smutek – minimalny /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00067=Powaga – pełna /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00068=Powaga – połowiczna /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00069=Powaga – minimalna /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00070=Zaskoczenie – pełne /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00071=Zaskoczenie – połowiczne /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00072=Zaskoczenie – minimalne /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00073=Złość – pełna /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00074=Złość – połowiczna /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00075=Złość – minimalna /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00076=Strach – pełny /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00077=Strach – połowiczny /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00078=Strach – minimalny /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00079=Zadowolenie – pełne /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00080=Zadowolenie – połowiczne /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00081=Zadowolenie – minimalne /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00082=Smutek – pełen /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00083=Smutek – połowiczny /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00084=Smutek – minimalny /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00085=Powaga – pełna /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00086=Powaga – połowiczna /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00087=Powaga – minimalna /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00088=Zaskoczenie – pełne /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00089=Zaskoczenie – połowiczne /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00090=Zaskoczenie – minimalne /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00091=Złość – pełna /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00092=Złość – połowiczna /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00093=Złość – minimalna /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00094=Strach – pełny /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00095=Strach – połowiczny /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00096=Strach – minimalny /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00097=Zadowolenie – pełne /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00098=Zadowolenie – połowiczne /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00099=Zadowolenie – minimalne /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00100=Smutek – pełen /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00101=Smutek – połowiczny /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00102=Smutek – minimalny /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00103=Powaga – pełna /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00104=Powaga – połowiczna /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00105=Powaga – minimalna /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00106=Zaskoczenie – pełne /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00107=Zaskoczenie – połowiczne /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00108=Zaskoczenie – minimalne /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00109=Złość – pełna /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00110=Złość – połowiczna /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00111=Złość – minimalna /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00112=Strach – pełny /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00113=Strach – połowiczny /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00114=Strach – minimalny /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00115=Zadowolenie – pełne /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00116=Zadowolenie – połowiczne /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00117=Zadowolenie – minimalne /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00118=Smutek – pełen /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00119=Smutek – połowiczny /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00120=Smutek – minimalny /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00121=Powaga – pełna /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00122=Powaga – połowiczna /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00123=Powaga – minimalna /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00124=Zaskoczenie – pełne /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00125=Zaskoczenie – połowiczne /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00126=Zaskoczenie – minimalne /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00127=Złość – pełna /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00128=Złość – połowiczna /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00129=Złość – minimalna /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00130=Strach – pełny /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00131=Strach – połowiczny /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00132=Strach – minimalny /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00133=Zadowolenie – pełne /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00134=Zadowolenie – połowiczne /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00135=Zadowolenie – minimalne /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00136=Smutek – pełen /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00137=Smutek – połowiczny /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00138=Smutek – minimalny /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00139=Powaga – pełna /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00140=Powaga – połowiczna /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00141=Powaga – minimalna /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00142=Zaskoczenie – pełne /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00143=Zaskoczenie – połowiczne /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00144=Zaskoczenie – minimalne /// Surprised minimum
Conversation/FixedCondition/CharacterEnabled=Postać ~INDEX~ jest dostępna (w bieżącym zestawie) /// Character ~INDEX~ is available (on current set)
Conversation/FixedCondition/CharacterUnlocked=Postać ~INDEX~ jest znana /// Character ~INDEX~ is known
Conversation/FixedCondition/DoNotPlay=Nie odtwarzaj /// Do Not Play
Conversation/FixedCondition/KerriganAlive=Kerrigan: ~INDEX~ /// Kerrigan is ~INDEX~
Conversation/FixedCondition/LastMission=Ostatnia misja: ~INDEX~ /// Last mission was ~INDEX~
Conversation/FixedCondition/MissionAvailable=Misja ~INDEX~ jest dostępna (grywalna od ~VALUE01~ do ~VALUE02~ razy, 0=nie) /// Mission ~INDEX~ is available (playable ~VALUE01~ to ~VALUE02~ times, 0=not)
Conversation/FixedCondition/MissionCompleted=Misja ~INDEX~ jest zakończona (wykonano od ~VALUE01~ do ~VALUE02~ misji temu, 0=nie) /// Mission ~INDEX~ is completed (did ~VALUE01~ to ~VALUE02~ missions ago, 0=not)
Conversation/FixedCondition/MissionCompletedCount=Wykonano od ~VALUE01~ do ~VALUE02~ misji /// Completed ~VALUE01~ to ~VALUE02~ missions
Conversation/FixedCondition/ObjectiveCompleted=Zadanie ~INDEX~ jest ukończone /// Objective ~INDEX~ completed
Conversation/FixedCondition/PlanetActive=Gracz jest na: ~INDEX~ /// Player is on ~INDEX~
Conversation/FixedCondition/PlanetAvailable=Świat ~INDEX~ jest dostępny /// World ~INDEX~ available
Conversation/Name/Ambience=Otoczenie /// Ambience
Conversation/Name/Coop_Transmissions=Współpraca_Transmisje /// Coop_Transmissions
Conversation/Name/DEBUG_FaceAnimTest=DEBUG_FaceAnimTest /// DEBUG_FaceAnimTest
Conversation/Name/zBriefing_Char01=zOdprawa_Char01 /// zBriefing_Char01
Conversation/Name/zBriefing_Char02=zOdprawa_Char02 /// zBriefing_Char02
Conversation/Name/zBriefing_Char03=zOdprawa_Char03 /// zBriefing_Char03
Conversation/Name/zBriefing_Expedition01=zOdprawa_Ekspedycja01 /// zBriefing_Expedition01
Conversation/Name/zBriefing_Expedition022=zOdprawa_Ekspedycja02 /// zBriefing_Expedition02
Conversation/Name/zBriefing_Expedition03=zOdprawa_Ekspedycja03 /// zBriefing_Expedition03
Conversation/Name/zBriefing_Hybrid01=zOdprawa_Hybryda01 /// zBriefing_Hybrid01
Conversation/Name/zBriefing_Hybrid02=zOdprawa_Hybryda02 /// zBriefing_Hybrid02
Conversation/Name/zBriefing_Hybrid03=zOdprawa_Hybryda03 /// zBriefing_Hybrid03
Conversation/Name/zBriefing_Korhal01=zOdprawa_Korhal01 /// zBriefing_Korhal01
Conversation/Name/zBriefing_Korhal02=zOdprawa_Korhal02 /// zBriefing_Korhal02
Conversation/Name/zBriefing_Korhal03=zOdprawa_Korhal03 /// zBriefing_Korhal03
Conversation/Name/zBriefing_Lab01=zOdprawa_Laboratorium01 /// zBriefing_Lab01
Conversation/Name/zBriefing_Lab02=zOdprawa_Laboratorium02 /// zBriefing_Lab02
Conversation/Name/zBriefing_Lab03=zOdprawa_Laboratorium03 /// zBriefing_Lab03
Conversation/Name/zBriefing_Space01=zOdprawa_PrzestrzeńKosmiczna01 /// zBriefing_Space01
Conversation/Name/zBriefing_Space02=zOdprawa_PrzestrzeńKosmiczna02 /// zBriefing_Space02
Conversation/Name/zBriefing_Zerus01=zOdprawa_Zerus01 /// zBriefing_Zerus01
Conversation/Name/zBriefing_Zerus02=zOdprawa_Zerus02 /// zBriefing_Zerus02
Conversation/Name/zBriefing_Zerus03=zOdprawa_Zerus03 /// zBriefing_Zerus03
Conversation/Name/zCutscene_Zerg01=zCut-scenka_Zerg01 /// zCutscene_Zerg01
Conversation/Name/zCutscene_Zerg02=zCut-scenka_Zerg02 /// zCutscene_Zerg02
Conversation/Name/zCutscene_Zerg03=zCut-scenka_Zerg03 /// zCutscene_Zerg03
Conversation/Name/zCutscene_Zerg04=zCut-scenka_Zerg04 /// zCutscene_Zerg04
Conversation/Name/zCutscene_Zerg05=zCut-scenka_Zerg05 /// zCutscene_Zerg05
Conversation/Name/zCutscene_Zerg07=zCut-scenka_Zerg07 /// zCutscene_Zerg07
Conversation/Name/zCutscene_Zerg08=zCut-scenka_Zerg08 /// zCutscene_Zerg08
Conversation/Name/zCutscene_Zerg09=zCut-scenka_Zerg09 /// zCutscene_Zerg09
Conversation/Name/zCutscene_Zerg10=zCut-scenka_Zerg10 /// zCutscene_Zerg10
Conversation/Name/zDebrief_Arc2=zSprawozdanie_Arc2 /// zDebrief_Arc2
Conversation/Name/zDebrief_Arc4DoW=zSprawozdanie_Arc4DoW /// zDebrief_Arc4DoW
Conversation/Name/zDebrief_Arc5DoW=zSprawozdanie_Arc5DoW /// zDebrief_Arc5DoW
Conversation/Name/zDebrief_Arc6DoW=zSprawozdanie_Arc6DoW /// zDebrief_Arc6DoW
Conversation/Name/zDebrief_Char01=zSprawozdanie_Char01 /// zDebrief_Char01
Conversation/Name/zDebrief_Expedition01=zSprawozdanie_Ekspedycja01 /// zDebrief_Expedition01
Conversation/Name/zDebrief_Hybrid02=zSprawozdanie_Hybryda02 /// zDebrief_Hybrid02
Conversation/Name/zDebrief_Hybrid03=zSprawozdanie_Hybryda03 /// zDebrief_Hybrid03
Conversation/Name/zDebrief_Korhal01=zDebrief_Korhal01 /// zDebrief_Korhal01
Conversation/Name/zDebrief_Lab01=zSprawozdanie_Laboratorium01 /// zDebrief_Lab01
Conversation/Name/zDebrief_Mission5=zRaport_Misja5 /// zDebrief_Mission5
Conversation/Name/zDebrief_Zerus02=zSprawozdanie_Zerus02 /// zDebrief_Zerus02
Conversation/Name/zDoW_Arc4=zDoW_Arc4 /// zDoW_Arc4
Conversation/Name/zDoW_Confirmation=zDoW_Potwierdzenie /// zDoW_Confirmation
Conversation/Name/zEvoBriefing_Baneling=zEvoOdprawa_Baneling /// zEvoBriefing_Baneling
Conversation/Name/zEvoBriefing_EggMonster=zEvoOdprawa_SwarmHost /// zEvoBriefing_SwarmHost
Conversation/Name/zEvoBriefing_Hydralisk=zEvoOdprawa_Hydralisk /// zEvoBriefing_Hydralisk
Conversation/Name/zEvoBriefing_Mutalisk=zEvoOdprawa_Mutalisk /// zEvoBriefing_Mutalisk
Conversation/Name/zEvoBriefing_Roach=zEvoOdprawa_Roach /// zEvoBriefing_Roach
Conversation/Name/zEvoBriefing_Ultralisk=zEwolucjaOdprawa_Ultralisk /// zEvoBriefing_Ultralisk
Conversation/Name/zEvoBriefing_Zergling=zEvoOdprawa_Zergling  /// zEvoBriefing_Zergling
Conversation/Name/zEvoChoice=zEwolucjaWybór /// zEvoChoice
Conversation/Name/zEvoMission_Baneling=zEwolucjaMisja_Tępiciel /// zEvoMission_Baneling
Conversation/Name/zEvoMission_EggMonster=zEwolucjaMisja_GospodarzRoju /// zEvoMission_SwarmHost
Conversation/Name/zEvoMission_Mutalisk=zEwolucjaMisja_Mutalisk /// zEvoMission_Mutalisk
Conversation/Name/zEvoMission_Roach=zEvoMission_Roach /// zEvoMission_Roach
Conversation/Name/zEvoMission_Ultralisk=zEwolucjaMisja_Ultralisk /// zEvoMission_Ultralisk
Conversation/Name/zEvoMission_Zergling=zEvoMission_Zergling /// zEvoMission_Zergling
Conversation/Name/zEvoPitch_Baneling=zEvoPitch_Baneling /// zEvoPitch_Baneling
Conversation/Name/zEvoPitch_EggMonster=zEwolucjaWybór_GospodarzRoju /// zEvoPitch_SwarmHost
Conversation/Name/zEvoPitch_Hydralisk=zEvoPitch_Hydralisk /// zEvoPitch_Hydralisk
Conversation/Name/zEvoPitch_Mutalisk=zEwoWybór_Mutalisk /// zEvoPitch_Mutalisk
Conversation/Name/zEvoPitch_Roach=zEvoPitch_Roach /// zEvoPitch_Roach
Conversation/Name/zEvoPitch_Ultralisk=zEwolucjaWybór_Ultralisk /// zEvoPitch_Ultralisk
Conversation/Name/zEvoPitch_Zergling=zEvoPitch_Zergling /// zEvoPitch_Zergling
Conversation/Name/zLabArc_Abilities=zLabArc_Abilities /// zLabArc_Abilities
Conversation/Name/zMission_Char01=zMisja_Char01 /// zMission_Char01
Conversation/Name/zMission_Char02=zMisja_Char02 /// zMission_Char02
Conversation/Name/zMission_Char03=zMisja_Char03 /// zMission_Char03
Conversation/Name/zMission_Expedition01=zMisja_Ekspedycja01 /// zMission_Expedition01
Conversation/Name/zMission_Expedition02=zMisja_Ekspedycja02 /// zMission_Expedition02
Conversation/Name/zMission_Expedition03=zMisja_Ekspedycja03 /// zMission_Expedition03
Conversation/Name/zMission_Hybrid01=zMisja_Hybryda01 /// zMission_Hybrid01
Conversation/Name/zMission_Korhal01=zMisja_Korhal01 /// zMission_Korhal01
Conversation/Name/zMission_Korhal02=zMisja_Korhal02 /// zMission_Korhal02
Conversation/Name/zMission_Korhal03=zMisja_Korhal03 /// zMission_Korhal03
Conversation/Name/zMission_Lab01=zMisja_Laboratorium01 /// zMission_Lab01
Conversation/Name/zMission_Lab02=zMisja_Laboratorium02 /// zMission_Lab02
Conversation/Name/zMission_Lab03=zMission_Lab03 /// zMission_Lab03
Conversation/Name/zMission_MultiMissionCallouts=zMisja_MultiMisjaWezwania /// zMission_MultiMissionCallouts
Conversation/Name/zMission_Space01=zMisja_PrzestrzeńKosmiczna01 /// zMission_Space01
Conversation/Name/zMission_Space02=zMisja_PrzestrzeńKosmiczna02 /// zMission_Space02
Conversation/Name/zMission_Zerus01=zMisja_Zerus01 /// zMission_Zerus01
Conversation/Name/zMission_Zerus02=zMisja_Zerus02 /// zMission_Zerus02
Conversation/Name/zMission_Zerus03=zMisja_Zerus03 /// zMission_Zerus03
Conversation/Name/zPitch_Char01=zWybór_Char01 /// zPitch_Char01
Conversation/Name/zPitch_Char01Travel=zWybór_Char01 Podróż /// zPitch_Char01 Travel
Conversation/Name/zPitch_Char02=zWybór_Char02 /// zPitch_Char02
Conversation/Name/zPitch_Char03=zWybór_Char03 /// zPitch_Char03
Conversation/Name/zPitch_Expedition01=zWybór_Ekspedycja01 /// zPitch_Expedition01
Conversation/Name/zPitch_Expedition01Travel=zWybór_Ekspedycja01 Podróż /// zPitch_Expedition01 Travel
Conversation/Name/zPitch_Expedition02=zWybór_Ekspedycja02 /// zPitch_Expedition02
Conversation/Name/zPitch_Expedition03=zWybór_Ekspedycja03 /// zPitch_Expedition03
Conversation/Name/zPitch_Hybrid01Travel=zWybór_Hybryda01 Podróż /// zPitch_Hybrid01 Travel
Conversation/Name/zPitch_Hybrid02Travel=zWybór_Hybryda02 Podróż /// zPitch_Hybrid02 Travel
Conversation/Name/zPitch_Korhal01=zWybór_Korhal01 /// zPitch_Korhal01
Conversation/Name/zPitch_Korhal01Travel=zWybór_Korhal01 Podróż /// zPitch_Korhal01 Travel
Conversation/Name/zPitch_Korhal02=zWybór_Korhal02 /// zPitch_Korhal02
Conversation/Name/zPitch_Korhal03=zWybór_Korhal03 /// zPitch_Korhal03
Conversation/Name/zPitch_Lab01=zWybór_Laboratorium01 /// zPitch_Lab01
Conversation/Name/zPitch_Lab03=zWybór_Laboratorium03 /// zPitch_Lab03
Conversation/Name/zPitch_Space01=zWybór_PrzestrzeńKosmiczna01 /// zPitch_Space01
Conversation/Name/zPitch_Space01Travel=zWybór_PrzestrzeńKosmiczna01 Podróż /// zPitch_Space01 Travel
Conversation/Name/zPitch_Space02=zWybór_PrzestrzeńKosmiczna02 /// zPitch_Space02
Conversation/Name/zPitch_Space02Travel=zWybór_PrzestrzeńKosmiczna02 Podróż /// zPitch_Space02 Travel
Conversation/Name/zPitch_TAdjutantChar=zWybór_TAdiutantChar /// zPitch_TAdjutantChar
Conversation/Name/zPitch_TAdjutantExpedition=zWybór_TAdiutantEkspedycja /// zPitch_TAdjutantExpedition
Conversation/Name/zPitch_Zerus01=zWybór_Zerus01 /// zPitch_Zerus01
Conversation/Name/zPitch_Zerus01Travel=zWybór_Zerus01 Podróż /// zPitch_Zerus01 Travel
Conversation/Name/zPitch_Zerus02=zWybór_Zerus02 /// zPitch_Zerus02
Conversation/Name/zPitch_Zerus03=zWybór_Zerus03 /// zPitch_Zerus03
Conversation/Name/zPrerender_KA=zPrerender_KA /// zPrerender_KA
Conversation/Name/zPrerender_ZI=zPrerender_ZI /// zPrerender_ZI
Conversation/Name/zScripted_EvolutionMaster_First=zSkrypt_EvolutionMaster_First /// zScripted_EvolutionMaster_First
Conversation/Name/zScripted_EvoMissionsUnlock=zSkrypt_EvoMissionsUnlock /// zScripted_EvoMissionsUnlock
Conversation/Name/zScripted_FourthArcAfter=zSkrypt_FourthArcAfter /// zScripted_FourthArcAfter
Conversation/Name/zScripted_Hybrid03Travel=zScripted_Hybryda03Podróż /// zScripted_Hybrid03Travel
Conversation/Name/zScripted_HybridArcBefore=zSkrypt_HybrydaArcBefore /// zScripted_HybridArcBefore
Conversation/Name/zScripted_KorhalArcBefore=zSkrypt_KorhalArcBefore /// zScripted_KorhalArcBefore
Conversation/Name/zScripted_Space01Travel=zScripted_PrzestrzeńKosmiczna01Podróż /// zScripted_Space01Travel
Conversation/Name/zScripted_ZAdjutantIntro=zSkrypt_ZAdjutantIntro /// zScripted_ZAdjutantIntro
Conversation/Name/zScripted_Zerus01Before=zSkrypt_Zerus01Before /// zScripted_Zerus01Before
Conversation/Name/zSM_CharFortress=zSM_CharForteca /// zSM_CharFortress
Conversation/Name/zSM_EvolutionMaster=zSM_MistrzEwolucji /// zSM_EvolutionMaster
Conversation/Name/zSM_ExpeditionHatchery=zSM_EkspedycjaWylęgarnia /// zSM_ExpeditionHatchery
Conversation/Name/zSM_HybridLab=zSM_HybrydaLaboratorium /// zSM_HybridLab
Conversation/Name/zSM_Kerrigan=zSM_Kerrigan /// zSM_Kerrigan
Conversation/Name/zSM_KorhalPalace=zSM_KorhalPałac /// zSM_KorhalPalace
Conversation/Name/zSM_KorhalWorld=zSM_KorhalŚwiat /// zSM_KorhalWorld
Conversation/Name/zSM_PrimalZergAdvisor=zSM_PierwotnyZergDoradca /// zSM_PrimalZergAdvisor
Conversation/Name/zSM_ProtossPrisoner=zSM_ProtosJeniec /// zSM_ProtossPrisoner
Conversation/Name/zSM_RogueQueen=zSM_ZbuntowanaKrólowa /// zSM_RogueQueen
Conversation/Name/zSM_Stukov=zSM_Stiukow /// zSM_Stukov
Conversation/Name/zSM_Valerian=zSM_Valerian /// zSM_Valerian
