Character/Name/ArtanisUI,Artanis /// Artanis=0
Conversation/AICommunication/Line00004,Sigue. Mantendremos esta ruta asegurada.=60
Conversation/AICommunication/Line00005,¿Así que suelo sagrado? La protegeremos.=61
Conversation/AICommunication/Line00006,Necesitamos un ejército para eso. Saldremos en cuanto podamos.=62
Conversation/AICommunication/Line00007,Todavía estamos entrenando tropas. Llevaré a mis hombres al campo lo más pronto posible.=63
Conversation/AICommunication/Line00008,Estamos construyendo un centro de mando aquí.=64
Conversation/AICommunication/Line00009,¡Nos están dando una paliza! ¡Retirada!=65
Conversation/AICommunication/Line00010,¿Dónde estás? ¡Nos están masacrando!=66
Conversation/AICommunication/Line00011,¡Necesitamos refuerzos! ¡Rápido!=67
Conversation/AICommunication/Line00012,Es un buen momento para recibir algunos refuerzos.=68
Conversation/AICommunication/Line00013,¡Algo se está moviendo por aquí! ¡Necesitamos detección!=69
Conversation/AICommunication/Line00014,Creo que tendré que retomar el control.=70
Conversation/AICommunication/Line00015,Bien, estoy retomando el control.=71
Conversation/AICommunication/Line00016,No nos vendría mal dar un vistazo.=72
Conversation/AICommunication/Line00017,Hemos examinado esta área. El explorador se dirige a la base.=73
Conversation/AICommunication/Line00018,Saldremos en cuanto haya entrenado a algunos soldados.=74
Conversation/AICommunication/Line00019,No puedo llegar hasta ese lugar, socio.=75
Conversation/AICommunication/Line00020,Estoy un poco ocupado. En unos minutos enviaré algo.=76
Conversation/AICommunication/Line00021,Mierda, mataron a mi VCE. Voy a enviar otro.=77
Conversation/AICommunication/Line00022,Detección en camino.=78
Conversation/AICommunication/Line00023,Llevaré a este Cuervo de regreso a la base.=79
Conversation/AICommunication/Line00024,Estamos construyendo un Cuervo.=80
Conversation/AICommunication/Line00025,Mataron al Cuervo. ¡Enviaré otro!=81
Conversation/AICommunication/Line00026,Tomaremos esa expansión.=82
Conversation/AICommunication/Line00027,Estableciendo un Centro de mando.=83
Conversation/AICommunication/Line00028,No puedo llegar hasta ahí.=84
Conversation/AICommunication/Line00029,Parece que nos enfrentamos contra los protoss.=85
Conversation/AICommunication/Line00030,Parece que nuestro enemigo es terran.=86
Conversation/AICommunication/Line00031,¡Tenemos algunos zerg por aquí!=87
Conversation/AICommunication/Line00032,Esa es una edificación protoss.=88
Conversation/AICommunication/Line00033,Hay algunos diseños terran conocidos por aquí.=89
Conversation/AICommunication/Line00034,Parece una edificación zerg.=90
Conversation/AICommunication/Line00035,Parece que encontramos una base.=91
Conversation/AICommunication/Line00036,Tipos malos, adelante.=92
Conversation/AICommunication/Line00037,¿Qué carajo hace esta edificación por aquí?=93
Conversation/AICommunication/Line00038,Adelante.=94
Conversation/AICommunication/Line00039,Comprendido. Nuestros guerreros están en marcha.=95
Conversation/AICommunication/Line00040,Necesitamos más guerreros. Atacaremos cuando estemos listos.=96
Conversation/AICommunication/Line00041,Nadie pasará.=97
Conversation/AICommunication/Line00042,Defenderemos una vez que nuestros guerreros se hayan transposicionado.=98
Conversation/AICommunication/Line00043,¡Hacia la victoria!=99
Conversation/AICommunication/Line00044,¡Retirada!=100
Conversation/AICommunication/Line00045,Comenzaremos con el ataque cuando nuestros guerreros se hayan transposicionado.=101
Conversation/AICommunication/Line00046,Estoy al mando.=102
Conversation/AICommunication/Line00047,¡El enemigo se ha camuflado! ¡Necesitamos detección!=103
Conversation/AICommunication/Line00048,¡Atacan a nuestras fuerzas!=104
Conversation/AICommunication/Line00049,Nuestros exploradores se dirigen a esta ubicación.=105
Conversation/AICommunication/Line00050,Nuestro equipo explorador está de regreso.=106
Conversation/AICommunication/Line00051,Nuestros exploradores se dirigirán a esta ubicación tan pronto como podamos.=107
Conversation/AICommunication/Line00052,Nuestro explorador no puede alcanzar esta ubicación.=108
Conversation/AICommunication/Line00053,¡Han destruido a nuestro explorador! ¡Enviaremos otro!=109
Conversation/AICommunication/Line00054,Un observador va en camino.=110
Conversation/AICommunication/Line00055,Nuestro detector debe regresar a la base.=111
Conversation/AICommunication/Line00056,Transposicionaremos un detector de inmediato.=112
Conversation/AICommunication/Line00057,¡Han eliminado a nuestro detector! ¡Enviaremos otro!=113
Conversation/AICommunication/Line00058,Esta ubicación es ideal para nuestra expansión.=114
Conversation/AICommunication/Line00059,Expansión asegurada. Estamos transposicionando un Nexo.=115
Conversation/AICommunication/Line00060,Nuestras fuerzas no pueden alcanzar esa ubicación.=116
Conversation/AICommunication/Line00061,Nuestro enemigo es protoss.=117
Conversation/AICommunication/Line00062,Hemos encontrado enemigos terran.=118
Conversation/AICommunication/Line00063,Las fuerzas zerg hostiles se han dejaron ver.=119
Conversation/AICommunication/Line00064,Hemos encontrado una estructura enemiga protoss.=120
Conversation/AICommunication/Line00065,Esta edificación pertenece a los terran.=121
Conversation/AICommunication/Line00066,Esta edificación contiene la carne contaminada de los zerg.=122
Conversation/AICommunication/Line00067,La base enemiga ha sido descubierta.=123
Conversation/AICommunication/Line00068,¡Hemos encontrado al enemigo!=124
Conversation/AICommunication/Line00069,¡Que no quede nada!=125
Conversation/AICommunication/Line00070,No estoy lista. Atacaremos cuando haya engendrado suficientes zerg.=126
Conversation/AICommunication/Line00071,Se llevarán una linda sorpresa.=127
Conversation/AICommunication/Line00072,Mi ejército no tiene tamaño suficiente. Defenderé en cuanto pueda.=128
Conversation/AICommunication/Line00073,Estamos poniendo a prueba la debilidad del enemigo.=129
Conversation/AICommunication/Line00074,El Enjambre está regresando a la base. Tuvimos demasiadas bajas.=130
Conversation/AICommunication/Line00075,Ahora lo haremos a mi manera.=131
Conversation/AICommunication/Line00076,¡El enemigo puede camuflarse!=132
Conversation/AICommunication/Line00077,¡Atacan a nuestras fuerzas!=133
Conversation/AICommunication/Line00078,¿Así que los protoss quieren pelear?=134
Conversation/AICommunication/Line00079,El enemigo es terran.=135
Conversation/AICommunication/Line00080,¿Una colonia enemiga intenta desafiarnos?=136
Conversation/AICommunication/Line00081,Estoy de acuerdo. Comenzaremos el ataque cuando mi ejército esté listo.=137
Conversation/AICommunication/Line00082,Hemos descubierto una estructura protoss.=138
Conversation/AICommunication/Line00083,Por aquí cerca hay un colmenar zerg enemigo.=139
Conversation/AICommunication/Line00084,Hemos descubierto la base enemiga.=140
Conversation/AICommunication/Line00085,¡Hemos encontrado al enemigo!=141
Conversation/AICommunication/Line00086,¿Por qué construirían esta estructura aquí?=142
Conversation/AICommunication/Line00087,Nuestro explorador está en camino.=143
Conversation/AICommunication/Line00088,Hemos examinado el área. Haré volver a mi explorador.=144
Conversation/AICommunication/Line00089,Mi explorador no puede alcanzar esa ubicación.=145
Conversation/AICommunication/Line00090,Dame un momento. Exploraré en cuanto pueda hacerlo.=146
Conversation/AICommunication/Line00091,¡Destruyeron a mi explorador! Enviaré otro.=147
Conversation/AICommunication/Line00092,Necesito detección para otros fines.=148
Conversation/AICommunication/Line00093,Es hora de descubrir qué está sucediendo realmente.=149
Conversation/AICommunication/Line00094,Estoy engendrando lo más rápido que puedo.=150
Conversation/AICommunication/Line00095,¡Mataron al detector! Enviaré otro.=151
Conversation/AICommunication/Line00096,Tomaremos esta expansión.=152
Conversation/AICommunication/Line00097,Colmenar implantado.=153
Conversation/AICommunication/Line00098,Nuestros obreros no pueden alcanzar esta ubicación.=154
Conversation/AICommunication/Line00099,Una edificación terran...=155
Conversation/AICommunication/Line00100,Plántenlo, muchachos.=156
Conversation/AICommunication/Line00101,Mis muchachos están entrenando.=157
Conversation/AICommunication/Line00102,Cuenta con nosotros.=158
Conversation/AICommunication/Line00103,Adelante, y con estilo.=159
Conversation/AICommunication/Line00104,Nos topamos con una resistencia muy dura.=160
Conversation/AICommunication/Line00105,Mis muchachos vuelven a la base.=161
Conversation/AICommunication/Line00106,Estamos volviendo.=162
Conversation/AICommunication/Line00107,¡Ordenaré un ataque aquí!=163
Conversation/AICommunication/Line00108,¡Vamos a molestarlos un poco!=164
Conversation/AICommunication/Line00109,Esto está bastante complicado.=165
Conversation/AICommunication/Line00110,Muy bien, Rebeldes, están de nuevo bajo mis órdenes.=166
Conversation/AICommunication/Line00111,Hora de volver al trabajo.=167
Conversation/AICommunication/Line00112,Exploración terminada.=168
Conversation/AICommunication/Line00113,Todo listo. Haré volver a ese explorador.=169
Conversation/AICommunication/Line00114,Enviaré un explorador.=170
Conversation/AICommunication/Line00115,Explorador en camino.=171
Conversation/AICommunication/Line00116,Mi explorador no puede llegar hasta allí.=172
Conversation/AICommunication/Line00117,¿Tienes un teletransportador? Si no, no podremos llegar hasta allí.=173
Conversation/AICommunication/Line00118,Ni lo sueñes.=174
Conversation/AICommunication/Line00119,Parece que mi explorador está terminando con lo suyo.=175
Conversation/AICommunication/Line00120,Sí, eso no va a suceder ahora.=176
Conversation/AICommunication/Line00121,Genial, mataron al explorador.=177
Conversation/AICommunication/Line00122,¡Eliminaron a mi explorador!=178
Conversation/AICommunication/Line00123,Construyan ese Centro de mando.=179
Conversation/AICommunication/Line00124,No creo que podamos lograrlo.=180
Conversation/AICommunication/Line00125,Muy bien, voy a tomar una expansión.=181
Conversation/AICommunication/Line00126,Construyan un Cuervo, muchachos. Rápido.=182
Conversation/AICommunication/Line00127,¡Destruyeron a mi Cuervo!=183
Conversation/AICommunication/Line00128,Cuervo en camino.=184
Conversation/AICommunication/Line00129,Por ahora voy a tener que decir no.=185
Conversation/AICommunication/Line00130,Su base está por aquí.=186
Conversation/AICommunication/Line00131,Esta edificación está demasiado lejos, ¿no te parece?=187
Conversation/AICommunication/Line00132,Y eso tendría que ser la base.=188
Conversation/AICommunication/Line00133,Miren lo que tenemos aquí.=189
Conversation/AICommunication/Line00134,Encontramos una base enemiga.=190
Conversation/AICommunication/Line00135,Parece que los chicos malos montaron una tienda por aquí.=191
Conversation/AICommunication/Line00136,Bueno, es una forma de encontrar al enemigo.=192
Conversation/AICommunication/Line00137,Parece que el enemigo se dejó ver.=193
Conversation/AICommunication/Line00138,Esa es una estructura zerg.=194
Conversation/AICommunication/Line00139,Estructura terran divisada, y no es una de las mías.=195
Conversation/AICommunication/Line00140,Encontramos una estructura protoss.=196
Conversation/AICommunication/Line00141,Bueno, definitivamente hay enemigos protoss por aquí.=197
Conversation/AICommunication/Line00142,Hay algunos terran hostiles por aquí.=198
Conversation/AICommunication/Line00143,Mierda... zerg.=199
Conversation/AICommunication/Line00144,Los protoss están buscando pelea.=200
Conversation/AICommunication/Line00145,Terran... Mátenlos.=201
Conversation/AICommunication/Line00146,Tenemos que recordarles a estos zerg quién es su reina.=202
Conversation/AICommunication/Line00147,Esa es una edificación protoss.=203
Conversation/AICommunication/Line00148,Esta edificación es de origen terran.=204
Conversation/AICommunication/Line00149,Esta estructura le pertenece a una colonia enemiga.=205
Conversation/AICommunication/Line00150,La base enemiga está aquí.=206
Conversation/AICommunication/Line00151,La base central de nuestro enemigo está aquí.=207
Conversation/AICommunication/Line00152,Allí está. La base de nuestro enemigo.=208
Conversation/AICommunication/Line00153,Aquí. Encontramos la base enemiga.=209
Conversation/AICommunication/Line00154,Qué extraño... esta estructura no tendría que estar aquí.=210
Conversation/AICommunication/Line00155,Esta base le pertenece a nuestros enemigos.=211
Conversation/AICommunication/Line00156,Las fuerzas enemigas se han dejado ver.=212
Conversation/AICommunication/Line00157,El enemigo. Genial, ya me estaba aburriendo.=213
Conversation/AICommunication/Line00158,El Enjambre atacará aquí.=214
Conversation/AICommunication/Line00159,¡El Enjambre no tiene piedad!=215
Conversation/AICommunication/Line00160,Mis fuerzas todavía no están listas.=216
Conversation/AICommunication/Line00161,Que vengan.=217
Conversation/AICommunication/Line00162,El enemigo se va a arrepentir de haber venido aquí.=218
Conversation/AICommunication/Line00163,Qué curioso... esta edificación está lejos de una base.=219
Conversation/AICommunication/Line00164,Mis fuerzas necesitan tiempo para prepararse.=220
Conversation/AICommunication/Line00165,Mi colonia atacará aquí.=221
Conversation/AICommunication/Line00166,¡Extermínenlos! ¡Sin clemencia!=222
Conversation/AICommunication/Line00167,Debemos regresar al colmenar.=223
Conversation/AICommunication/Line00168,Estamos retrocediendo.=224
Conversation/AICommunication/Line00169,Estoy engendrando más zerg. Atacaremos cuando estemos listos.=225
Conversation/AICommunication/Line00170,Extendiendo el control.=226
Conversation/AICommunication/Line00171,El Enjambre es mío otra vez.=227
Conversation/AICommunication/Line00172,Necesitamos detección.=228
Conversation/AICommunication/Line00173,¡Nos están masacrando!=229
Conversation/AICommunication/Line00174,¿Dónde están los refuerzos?=230
Conversation/AICommunication/Line00175,Enviaré un explorador.=231
Conversation/AICommunication/Line00176,Estamos de acuerdo. Nuestras fuerzas están en camino.=232
Conversation/AICommunication/Line00178,Estamos preparando a nuestros guerreros.=233
Conversation/AICommunication/Line00179,Resistiremos en esta posición.=234
Conversation/AICommunication/Line00180,Necesitamos más guerreros.=235
Conversation/AICommunication/Line00181,Nuestras fuerzas atacarán esta ubicación.=236
Conversation/AICommunication/Line00182,No podemos sobrevivir a esta batalla.=237
Conversation/AICommunication/Line00183,Nuestros guerreros deben retirarse.=238
Conversation/AICommunication/Line00184,Hemos perdido esta pelea. Nos retiramos.=239
Conversation/AICommunication/Line00185,Necesitaremos más tropas.=240
Conversation/AICommunication/Line00186,Estoy retomando el control.=241
Conversation/AICommunication/Line00187,Hemos perdido al enemigo. Necesitamos detección.=242
Conversation/AICommunication/Line00188,Necesitamos refuerzos.=243
Conversation/AICommunication/Line00189,¡Rápido, envíen ayuda! ¡Todavía podemos ganar esta batalla!=244
Conversation/AICommunication/Line00190,El Khala guiará mi mano.=245
Conversation/AICommunication/Line00191,Exploraremos esta área.=246
Conversation/AICommunication/Line00192,Hemos enviado un explorador.=247
Conversation/AICommunication/Line00194,Misión de exploración completada.=248
Conversation/AICommunication/Line00195,Nuestro explorador regresa.=249
Conversation/AICommunication/Line00196,No tenemos manera de alcanzar esa ubicación.=250
Conversation/AICommunication/Line00197,No podemos alcanzar esa ubicación.=251
Conversation/AICommunication/Line00198,No podemos acceder a esta ubicación. Enviaremos exploradores cuando sea posible.=252
Conversation/AICommunication/Line00199,¡Han destruido a nuestro explorador! ¡Lo reemplazaremos!=253
Conversation/AICommunication/Line00200,¡El enemigo ha destruido nuestro explorador! Enviaremos otro.=254
Conversation/AICommunication/Line00201,Enviaremos un observador tal como se ha solicitado.=255
Conversation/AICommunication/Line00202,Nuestro observador regresa a la base.=256
Conversation/AICommunication/Line00203,Nuestro observador debe regresar.=257
Conversation/AICommunication/Line00204,En poco tiempo tendremos detección.=258
Conversation/AICommunication/Line00205,¡Han destruido a nuestro detector!=259
Conversation/AICommunication/Line00206,Debemos asegurar recursos adicionales.=260
Conversation/AICommunication/Line00207,Estamos intentando asegurar esta expansión.=261
Conversation/AICommunication/Line00208,Comenzando secuencia de transposición dimensional. El Nexo llegará en poco tiempo.=262
Conversation/AICommunication/Line00209,Transposicionando un Nexo.=263
Conversation/AICommunication/Line00210,Secuencia de transposición de Nexo iniciada.=264
Conversation/AICommunication/Line00211,Coordenadas de transposición de Nexo confirmadas.=265
Conversation/AICommunication/Line00212,Coordenadas dimensionales establecidas. Transposicionando nexo.=266
Conversation/AICommunication/Line00213,No podemos alcanzar esta ubicación.=267
Conversation/AICommunication/Line00214,No podremos expandirnos a esta ubicación.=268
Conversation/AICommunication/Line00215,Hemos divisado enemigos protoss. Prepárense.=269
Conversation/AICommunication/Line00216,Hemos detectado fuerzas terran hostiles.=270
Conversation/AICommunication/Line00217,Hemos descubierto una fuerza zerg enemiga.=271
Conversation/AICommunication/Line00218,Una estructura protoss.=272
Conversation/AICommunication/Line00219,Las fuerzas enemigas protoss están construyendo aquí.=273
Conversation/AICommunication/Line00220,Las fuerzas terran se han posicionado aquí.=274
Conversation/AICommunication/Line00221,Los terran han construido sobre esta ubicación.=275
Conversation/AICommunication/Line00222,Los zerg han construido sobre este sector.=276
Conversation/AICommunication/Line00223,Esta estructura le pertenece a los zerg.=277
Conversation/AICommunication/Line00224,La base central de un enemigo.=278
Conversation/AICommunication/Line00225,Hemos descubierto la base de un enemigo.=279
Conversation/AICommunication/Line00226,Esta base le pertenece al enemigo.=280
Conversation/AICommunication/Line00227,El enemigo ha construido una base aquí.=281
Conversation/AICommunication/Line00228,La base enemiga está aquí.=282
Conversation/AICommunication/Line00229,Nuestros enemigos se reúnen aquí.=283
Conversation/AICommunication/Line00230,Es extraño... esta edificación no está protegida.=284
Conversation/AICommunication/Line00231,Tenemos mucho conocimiento por adquirir.=285
Conversation/AICommunication/Line00232,Hecho. Mi explorador está regresando.=286
Conversation/AICommunication/Line00233,Eso no es posible.=287
Conversation/AICommunication/Line00234,El Enjambre revela todos los secretos.=288
Conversation/AICommunication/Line00235,No importa, haré que mi detector regrese.=289
Conversation/AICommunication/Line00236,¡Cómo se atreven a destruir mi explorador!=290
Conversation/AICommunication/Line00237,Estoy ocupada. Exploraremos luego.=291
Conversation/AICommunication/Line00238,Estoy engendrando detectores.=292
Conversation/AICommunication/Line00239,¡Mataron a mi detector!=293
Conversation/AICommunication/Line00240,Esta expansión le pertenece al Enjambre.=294
Conversation/AICommunication/Line00241,Reclamo estos minerales.=295
Conversation/AICommunication/Line00242,Debemos expandirnos.=296
Conversation/AICommunication/Line00243,El Enjambre crece.=297
Conversation/AICommunication/Line00244,Estamos mutando un Larvario.=298
Conversation/AICommunication/Line00245,Ubiqué un Larvario aquí.=299
Conversation/AICommunication/Line00246,Implantando un Larvario.=300
Conversation/AICommunication/Line00247,No podemos alcanzar esa ubicación.=301
Conversation/AICommunication/Line00248,No, esta área no es adecuada para una expansión.=302
Conversation/AICommunication/Line00249,¡Derroten al enemigo!=303
Conversation/AICommunication/Line00250,¡No podemos contenerlos! ¡Debemos regresar a la base!=304
Conversation/AICommunication/Line00251,El enemigo es demasiado poderoso. Nos reagruparemos.=305
Conversation/AICommunication/Line00252,¡Son demasiado poderosos! Retiraré a mis tropas.=306
Conversation/AICommunication/Line00253,¡Que nuestros enemigos sientan la fuerza del Khala!=307
Conversation/AICommunication/Line00254,¡Ataquen ahora, guerreros!=308
Conversation/AICommunication/Line00255,¡Peleen con todas sus fuerzas, hijos de Aiur!=309
Conversation/AICommunication/Line00256,¡La victoria está cerca! ¡No cedan!=310
Conversation/AICommunication/Line00257,¡Luchen! ¡Por la gloria eterna! ¡Hasta el fin!=311
Conversation/AICommunication/Line00258,Entendido. Nos movemos.=312
Conversation/AICommunication/Line00259,¡Con todo, muchachos! ¡Échenles humo!=313
Conversation/AICommunication/Line00260,¡Suficiente! ¡Ni piensen en retroceder!=314
Conversation/AICommunication/Line00261,¡Vamos con todo, muchachos!=315
Conversation/AICommunication/Line00262,Muy bien, Rebeldes, ¡al ataque!=316
Conversation/AICommunication/Line00263,El Enjambre se mueve.=317
Conversation/AICommunication/Line00264,Mi colonia está en camino.=318
Conversation/AICommunication/Line00265,No dejamos a nadie con vida.=319
Conversation/AICommunication/Line00266,Adelante, mis crías, destrúyanlos.=320
Conversation/AICommunication/Line00267,Mi Enjambre los despedazará.=321
Conversation/AICommunication/Line00268,¡Manténganse en guardia, guerreros!=322
Conversation/AICommunication/Line00269,¿Tienes un detector? Algo está acechando en la oscuridad...=323
Conversation/AICommunication/Line00270,Entendido.=324
Conversation/AICommunication/Line00271,Estamos de acuerdo.=325
Conversation/AICommunication/Line00272,Entendido.=326
Conversation/AICommunication/Line00273,Bien.=327
Conversation/AICommunication/Line00276,De acuerdo.=328
Conversation/AICommunication/Line00277,Hecho.=329
Conversation/AICommunication/Line00278,Sip.=330
Conversation/AICommunication/Line00279,Estoy de acuerdo.=331
Conversation/AICommunication/Line00280,No estoy lista.=332
Conversation/AICommunication/Line00281,Ni lo sueñes.=333
Conversation/AICommunication/Line00282,Debemos asegurar recursos adicionales.=334
Conversation/AICommunication/Line00283,Nuestros pensamientos son uno.=335
Conversation/Challengescombined/Line00001,Ronda 1=336
Conversation/Challengescombined/Line00002,Ronda 2=337
Conversation/Challengescombined/Line00003,Ronda 3=338
Conversation/Challengescombined/Line00004,¡Nuevo récord!=339
Conversation/Challengescombined/Line00005,Bienvenido, Comandante.=340
Conversation/Challengescombined/Line00006,Tu objetivo en este ejercicio es infligir el máximo daño posible al enemigo con las fuerzas limitadas que tienes a tu disposición.=341
Conversation/Challengescombined/Line00007,Las habilidades especiales de tus unidades serán la clave para lograr un puntaje alto. Así que úsalas con sabiduría.=342
Conversation/Challengescombined/Line00008,Las fuerzas enemigas serán invulnerables hasta que indiques que estás listo para comenzar oprimiendo el botón de "Listo".=343
Conversation/Challengescombined/Line00009,Debes destruir todos los enemigos que puedas con las criaturas disponibles.=344
Conversation/Challengescombined/Line00010,Explora la base enemiga y cuando estés listo para empezar el asalto oprime el botón de "Listo".=345
Conversation/Challengescombined/Line00011,¡Hay poco tiempo! ¡Ataca sin misericordia e inflige el máximo daño posible!=346
Conversation/Challengescombined/Line00012,En Taro Tassadar, alumno. Todo guerrero protoss debe aprender a combatir enemigos tan numerosos como las estrellas en el firmamento.=347
Conversation/Challengescombined/Line00013,En este simulacro, comandarás una pequeña fuerza que resistirá una serie de olas de ataque. Ajusticia a todos los que puedas.=348
Conversation/Challengescombined/Line00014,Usa el terreno del campo de batalla a tu favor. Pelea sólo donde tu destreza bélica superior pueda poner la balanza a tu favor.=349
Conversation/Challengescombined/Line00015,En Taro Tassadar, alumno. Un guerrero protoss conoce las habilidades de sus propias fuerzas y las debilidades del enemigo.=350
Conversation/Challengescombined/Line00016,En este simulacro, usarás una fuerza limitada para defender tres Pilones contra los ataques enemigos.=351
Conversation/Challengescombined/Line00017,Los Pilones están muy separados, tendrás que dividir tus fuerzas para proteger los tres.=352
Conversation/Challengescombined/Line00018,Estudia las fuerzas enemigas y despliega a tus unidades de modo que puedan contrarrestar los ataques enemigos más eficazmente.=353
Conversation/Challengescombined/Line00019,Una vez que hayas desplegado tus fuerzas, oprime el botón de "Listo" para comenzar.=354
Conversation/Challengescombined/Line00020,Ten cuidado: tratar de abandonar el área de despliegue provocará un castigo.=355
Conversation/Challengescombined/Line00021,Estas tres Espiras están bajo amenaza. Debes defenderlas con las fuerzas disponibles.=356
Conversation/Challengescombined/Line00022,Las Espiras están muy separadas. Tendrás que dividir tus fuerzas para protegerlas a todas.=357
Conversation/Challengescombined/Line00023,Estudia a tus enemigos cuidadosamente. Despliega a tus lacayos para que contrarresten cada grupo de enemigos de la mejor manera posible.=358
Conversation/Challengescombined/Line00024,Cuando estés completamente preparado, oprime el botón de "Listo" para comenzar.=359
Conversation/Challengescombined/Line00025,¡Se advierte que cualquier intento de abandonar la zona de despliegue no será tolerado!=360
Conversation/Challengescombined/Line00026,Saludos, Comandante. Tu objetivo en este ejercicio es usar fuerzas limitadas para defender tres Depósitos de suministros.=361
Conversation/Challengescombined/Line00027,Los Depósitos de suministros están muy separados, tendrás que dividir tus fuerzas para establecer una defensa para cada uno.=362
Conversation/Challengescombined/Line00028,Intenta formar grupos que contrarresten eficazmente a las unidades enemigas que sean desplegadas en su contra.=363
Conversation/Challengescombined/Line00029,Cuando hayas terminado el despliegue, oprime el botón de "Listo" para proceder.=364
Conversation/Challengescombined/Line00030,¡Advertencia! Está abandonando la zona de despliegue. Torretas con plataformas activadas.=365
Conversation/Challengescombined/Line00031,Buenas tardes, Comandante. En este ejercicio, deberás defender todas tus estructuras ante una variedad de ataques enemigos.=366
Conversation/Challengescombined/Line00032,No tendrás la habilidad de entrenar más unidades de combate.=367
Conversation/Challengescombined/Line00033,Para poder seguir adelante, tendrás que usar los VCE para reparar tus estructuras y pelear contra los agresores.=368
Conversation/Challengescombined/Line00034,En Taro Tassadar, alumno. En este simulacro, aprenderás a controlar fuerzas numerosas más eficientemente.=369
Conversation/Challengescombined/Line00035,Comienza por organizar a tus guerreros en grupos de control. Examina las fuerzas que tienes disponibles y distribúyelas para formar grupos de ataque poderosos.=370
Conversation/Challengescombined/Line00036,Como puedes ver, tienes unidades situadas por toda el área de simulación. Estas permanecerán inmóviles hasta que estés listo para empezar.=371
Conversation/Challengescombined/Line00037,Ronda 1=372
Conversation/Challengescombined/Line00038,Qué gusto volver a verlo, Comandante. Una economía fuerte es la clave de la victoria, y la clave de una economía fuerte es la recolección eficiente de recursos.=373
Conversation/Challengescombined/Line00039,En este ejercicio se pondrán a prueba tus habilidades para organizar bases. Comienza recolectando los recursos suficientes para expandirte al área de recursos adicional que se encuentra cerca.=374
Conversation/Challengescombined/Line00040,Al construir un segundo Centro de mando en el sitio de expansión, duplicarás eficazmente la cantidad de recursos que recibes.=375
Conversation/Challengescombined/Line00041,Completa el ejercicio entrenando una fuerza antes de que se acabe el tiempo.=376
Conversation/Challengescombined/Line00042,Buen día, Comandante. Tu objetivo en este ejercicio es sobrevivir a varias oleadas de atacantes.=377
