Character/Name/ArtanisUI,阿塔尼斯 /// Artanis=0
Conversation/AICommunication/Comment00022,Expansion secured.=53
Conversation/AICommunication/Comment00023,Cannot expand to location.=54
Conversation/AICommunication/Comment00024,我=55
Conversation/AICommunication/Comment00025,你=56
Conversation/AICommunication/Comment00026,Enemy Zerg sighted.=57
Conversation/AICommunication/Comment00027,Enemy Protoss building sighted.=58
Conversation/AICommunication/Comment00028,Enemy Terran building sighted.=59
Conversation/AICommunication/Comment00029,Enemy Zerg building sighted.=60
Conversation/AICommunication/Comment00030,Enemy townhall found.=61
Conversation/AICommunication/Comment00031,我=62
Conversation/AICommunication/Comment00032,Proxy sighted.=63
Conversation/AICommunication/Comment00033,Need detection please.=64
Conversation/AICommunication/Comment00034,快来人啊。=65
Conversation/AICommunication/Comment00035,Full force confirm.=66
Conversation/AICommunication/Comment00036,No army. Will attack ASAP. (Player setting)=67
Conversation/AICommunication/Comment00037,Defending area. (Player request)=68
Conversation/AICommunication/Comment00038,No army. Will defend ASAP.  (Player setting)=69
Conversation/AICommunication/Comment00039,Attack Cautious Wave Begin=70
Conversation/AICommunication/Comment00040,Full force enter combat=71
Conversation/AICommunication/Comment00041,Ending harassment.=72
Conversation/AICommunication/Comment00042,No army. Will harass ASAP. (Player Setting)=73
Conversation/AICommunication/Comment00043,Returning to full AI control. (Player Setting)=74
Conversation/AICommunication/Comment00044,Full force enter combat.=75
Conversation/AICommunication/Comment00046,Need detection please.=76
Conversation/AICommunication/Comment00047,快来人啊。=77
Conversation/AICommunication/Comment00048,Scouting.=78
Conversation/AICommunication/Comment00049,Scouting complete.=79
Conversation/AICommunication/Comment00050,Unable to send scout to location. Aborting.=80
Conversation/AICommunication/Comment00051,Cannot send scout atm. Will scout ASAP.=81
Conversation/AICommunication/Comment00052,Scout died. Sending another.=82
Conversation/AICommunication/Comment00053,Sending detector.=83
Conversation/AICommunication/Comment00054,Aborting detection command.=84
Conversation/AICommunication/Comment00055,Building a detector ASAP.=85
Conversation/AICommunication/Comment00056,Detector died. Sending another.=86
Conversation/AICommunication/Comment00057,试图扩张。=87
Conversation/AICommunication/Comment00058,Expansion secured.=88
Conversation/AICommunication/Comment00059,Cannot expand to location.=89
Conversation/AICommunication/Comment00060,我=90
Conversation/AICommunication/Comment00061,你=91
Conversation/AICommunication/Comment00062,Enemy Zerg sighted.=92
Conversation/AICommunication/Comment00063,Enemy Protoss building sighted.=93
Conversation/AICommunication/Comment00064,Enemy Terran building sighted.=94
Conversation/AICommunication/Comment00065,Enemy Zerg building sighted.=95
Conversation/AICommunication/Comment00066,Enemy townhall found.=96
Conversation/AICommunication/Comment00067,我=97
Conversation/AICommunication/Comment00069,Full force confirm.=98
Conversation/AICommunication/Comment00070,No army. Will attack ASAP. (Player Setting)=99
Conversation/AICommunication/Comment00071,Defending area. (Player Setting)=100
Conversation/AICommunication/Comment00072,No army. Will defend ASAP.  (Player Setting)=101
Conversation/AICommunication/Comment00073,Attack Cautious Wave Begin=102
Conversation/AICommunication/Comment00075,Ending harassment.=103
Conversation/AICommunication/Comment00077,Returning to full AI control. (Player Setting)=104
Conversation/AICommunication/Comment00080,Need detection please.=105
Conversation/AICommunication/Comment00081,快来人啊。=106
Conversation/AICommunication/Comment00082,Scouting.=107
Conversation/AICommunication/Comment00083,Scouting complete.=108
Conversation/AICommunication/Comment00084,Unable to send scout to location. Aborting.=109
Conversation/AICommunication/Comment00085,Cannot send scout atm. Will scout ASAP.=110
Conversation/AICommunication/Comment00086,Scout died. Sending another.=111
Conversation/AICommunication/Comment00087,Sending detector.=112
Conversation/AICommunication/Comment00088,Aborting detection command.=113
Conversation/AICommunication/Comment00089,Building a detector ASAP.=114
Conversation/AICommunication/Comment00090,Detector died. Sending another.=115
Conversation/AICommunication/Comment00091,试图扩张。=116
Conversation/AICommunication/Comment00092,Expansion secured.=117
Conversation/AICommunication/Comment00093,Cannot expand to location.=118
Conversation/AICommunication/Comment00094,我=119
Conversation/AICommunication/Comment00095,你=120
Conversation/AICommunication/Comment00096,Enemy Zerg sighted.=121
Conversation/AICommunication/Comment00097,Enemy Protoss building sighted.=122
Conversation/AICommunication/Comment00098,Enemy Terran building sighted.=123
Conversation/AICommunication/Comment00099,Enemy Zerg building sighted.=124
Conversation/AICommunication/Comment00100,Enemy townhall found.=125
Conversation/AICommunication/Comment00101,我=126
Conversation/AICommunication/Comment00102,Proxy sighted.=127
Conversation/AICommunication/Group00001,AI Communication=128
Conversation/AICommunication/Group00002,阿塔尼斯=129
Conversation/AICommunication/Group00003,Infested Kerrigan=130
Conversation/AICommunication/Group00004,Raynor=131
Conversation/AICommunication/Group00005,Army Alerts=132
Conversation/AICommunication/Group00006,Army Alerts=133
Conversation/AICommunication/Group00007,Advanced Alerts=134
Conversation/AICommunication/Group00008,Advanced Alerts=135
Conversation/AICommunication/Group00009,Advanced Alerts=136
Conversation/AICommunication/Group00010,Army Alerts=137
Conversation/AICommunication/Group00011,Advanced Alerts=138
Conversation/AICommunication/Group00012,Advanced Alerts=139
Conversation/AICommunication/Group00013,Advanced Alerts=140
Conversation/AICommunication/Group00014,Confirmations=141
Conversation/AICommunication/Group00015,Confirmations=142
Conversation/AICommunication/Group00016,Confirmations=143
Conversation/AICommunication/Group00017,负形=144
Conversation/AICommunication/Group00018,负形=145
Conversation/AICommunication/Group00019,负形=146
Conversation/AICommunication/Line00001,Raiders, roll.=147
Conversation/AICommunication/Line00002,Still training up an army. We'll get to it!=148
Conversation/AICommunication/Line00003,Give it all you got, Raiders!=149
Conversation/AICommunication/Line00004,You move on, we'll keep this patch secured.=150
Conversation/AICommunication/Line00005,Holy ground, huh? We'll keep her safe.=151
Conversation/AICommunication/Line00006,Gonna need an army for that. We'll get out there when we can.=152
Conversation/AICommunication/Line00007,Still training troops. I'll get my men out there ASAP.=153
Conversation/AICommunication/Line00008,Command center going up over here.=154
Conversation/AICommunication/Line00009,We're taking a licking! Heading back!=155
Conversation/AICommunication/Line00010,Where are you? We're dying out here!=156
Conversation/AICommunication/Line00011,We need backup, pronto!=157
Conversation/AICommunication/Line00012,Now would be a great time for reinforcements.=158
Conversation/AICommunication/Line00013,There's something moving out here! We need detection!=159
Conversation/AICommunication/Line00014,Think I'll get back to running this show.=160
Conversation/AICommunication/Line00015,Alright, I'm taking back control.=161
Conversation/AICommunication/Line00016,Can't hurt to take a look.=162
Conversation/AICommunication/Line00017,We've scoped out this area. Scout's heading back to base.=163
Conversation/AICommunication/Line00018,Once I've trained up some soldiers we'll head out.=164
Conversation/AICommunication/Line00019,Can't reach that location, partner.=165
Conversation/AICommunication/Line00020,Little busy here. I'll send something out in a minute.=166
Conversation/AICommunication/Line00021,Dammit, they killed my SCV. I'm sending out another.=167
Conversation/AICommunication/Line00022,Detection on the way.=168
Conversation/AICommunication/Line00023,Taking this raven back to base.=169
Conversation/AICommunication/Line00024,Building a raven now.=170
Conversation/AICommunication/Line00025,The raven's down. I'll send another!=171
Conversation/AICommunication/Line00026,We're going to take that expansion.=172
Conversation/AICommunication/Line00027,Putting up a command center.=173
Conversation/AICommunication/Line00028,Can't reach that.=174
Conversation/AICommunication/Line00029,Looks like we're facing some protoss.=175
Conversation/AICommunication/Line00030,Well, looks like our enemy is terran.=176
Conversation/AICommunication/Line00031,We've got zerg over here!=177
Conversation/AICommunication/Line00032,That's a protoss building.=178
Conversation/AICommunication/Line00033,Well, there's some familiar terran designs.=179
Conversation/AICommunication/Line00034,Looks like a zerg building.=180
Conversation/AICommunication/Line00035,Looks like we've found a base.=181
Conversation/AICommunication/Line00036,Bad guys, straight ahead.=182
Conversation/AICommunication/Line00037,What the hell is this building doing all the way out here?=183
Conversation/AICommunication/Line00038,We march forth.=184
Conversation/AICommunication/Line00039,Understood. Our warriors move.=185
Conversation/AICommunication/Line00040,We require more warriors. We shall attack once ready.=186
Conversation/AICommunication/Line00041,None shall pass.=187
Conversation/AICommunication/Line00042,We will defend once our warriors have warped in.=188
Conversation/AICommunication/Line00043,We move for victory!=189
Conversation/AICommunication/Line00044,我们必须撤退！=190
Conversation/AICommunication/Line00045,The attack will commence once our warriors have warped in.=191
Conversation/AICommunication/Line00046,I am in command.=192
Conversation/AICommunication/Line00047,The enemy has cloaked! We require detection!=193
Conversation/AICommunication/Line00048,Our forces are under attack!=194
Conversation/AICommunication/Line00049,Our scouts are headed to this location.=195
Conversation/AICommunication/Line00050,Our scouting party returns.=196
Conversation/AICommunication/Line00051,Our scouts will head to this location as soon as they can.=197
Conversation/AICommunication/Line00052,Our scout is unable to reach this location.=198
Conversation/AICommunication/Line00053,Our scout has been destroyed! We are sending another!=199
Conversation/AICommunication/Line00054,An observer is on its way.=200
Conversation/AICommunication/Line00055,Our detector must return to base.=201
Conversation/AICommunication/Line00056,We are warping in a detector, immediately.=202
Conversation/AICommunication/Line00057,Our detector has been slain! We are sending another!=203
Conversation/AICommunication/Line00058,This location is ideal for our expansion.=204
Conversation/AICommunication/Line00059,Expansion secured. We are warping in a Nexus now.=205
Conversation/AICommunication/Line00060,Our forces cannot reach that location.=206
Conversation/AICommunication/Line00061,Our enemy is Protoss.=207
Conversation/AICommunication/Line00062,我们遇到了敌对的人类。=208
Conversation/AICommunication/Line00063,发现敌方异虫。=209
Conversation/AICommunication/Line00064,We have encountered an enemy Protoss structure.=210
Conversation/AICommunication/Line00065,This building belongs to the terrans.=211
Conversation/AICommunication/Line00066,This building bears the tainted flesh of the zerg.=212
Conversation/AICommunication/Line00067,The enemy's base has been discovered.=213
Conversation/AICommunication/Line00068,We have encountered the enemy!=214
Conversation/AICommunication/Line00069,别拉下东西！=215
Conversation/AICommunication/Line00070,I'm not ready. We'll attack once I've morphed enough zerg.=216
Conversation/AICommunication/Line00071,We'll have a surprise in store for them.=217
Conversation/AICommunication/Line00072,My army isn't large enough. I'll defend as soon as I'm able.=218
Conversation/AICommunication/Line00073,We are probing the enemy for weakness.=219
Conversation/AICommunication/Line00074,The Swarm is returning to base. We're taking too many losses.=220
Conversation/AICommunication/Line00075,Now we do things my way.=221
Conversation/AICommunication/Line00076,The enemy can cloak!=222
Conversation/AICommunication/Line00077,Our forces are under attack!=223
Conversation/AICommunication/Line00078,看来星灵想要大战一场。=224
Conversation/AICommunication/Line00079,The enemy is terran.=225
Conversation/AICommunication/Line00080,An enemy brood wishes to challenge us?=226
Conversation/AICommunication/Line00081,I agree. We will begin the attack once my army is ready.=227
Conversation/AICommunication/Line00082,We've encountered a protoss structure.=228
Conversation/AICommunication/Line00083,There's an enemy zerg hive cluster around here.=229
Conversation/AICommunication/Line00084,We've discovered the enemy's base.=230
Conversation/AICommunication/Line00085,We've encountered the enemy!=231
Conversation/AICommunication/Line00086,Why would they build this structure out here?=232
Conversation/AICommunication/Line00087,Our scout is on the move.=233
Conversation/AICommunication/Line00088,We've scouted the area. I'm taking my scout back.=234
Conversation/AICommunication/Line00089,My scout cannot reach that location.=235
Conversation/AICommunication/Line00090,Give me a moment. I'll scout as soon as I can.=236
Conversation/AICommunication/Line00091,They killed my scout! I'm sending another.=237
Conversation/AICommunication/Line00092,I require detection for other purposes.=238
Conversation/AICommunication/Line00093,It's time to find out what's really going on.=239
Conversation/AICommunication/Line00094,I'm morphing as quickly as I can.=240
Conversation/AICommunication/Line00095,They've killed the detector! I'm sending another.=241
Conversation/AICommunication/Line00096,We're taking this expansion.=242
Conversation/AICommunication/Line00097,Hive cluster implanted.=243
Conversation/AICommunication/Line00098,Our drones cannot reach this location.=244
Conversation/AICommunication/Line00099,A terran building...=245
Conversation/AICommunication/Line00100,Plant it, raiders.=246
Conversation/AICommunication/Line00101,My boys are training right now.=247
Conversation/AICommunication/Line00102,You can count on us.=248
Conversation/AICommunication/Line00103,Heading out, and playing it cool.=249
Conversation/AICommunication/Line00104,Encountering some tough resistance.=250
Conversation/AICommunication/Line00105,My guys are headed back to base.=251
Conversation/AICommunication/Line00106,We're heading back.=252
Conversation/AICommunication/Line00107,I'm ordering an attack here!=253
Conversation/AICommunication/Line00108,Let's ruffle their feathers a bit!=254
Conversation/AICommunication/Line00109,It's a little too crazy out here.=255
Conversation/AICommunication/Line00110,Alright Raiders, back under my command.=256
Conversation/AICommunication/Line00111,Time to get back to business.=257
Conversation/AICommunication/Line00112,Done scouting.=258
Conversation/AICommunication/Line00113,All done here. I'll take that scout back.=259
Conversation/AICommunication/Line00114,Sending a scout now.=260
Conversation/AICommunication/Line00115,Scout's on the way.=261
Conversation/AICommunication/Line00116,My scout can't get there.=262
Conversation/AICommunication/Line00117,You got a teleporter? Otherwise, we ain't getting there.=263
Conversation/AICommunication/Line00118,不可能。=264
Conversation/AICommunication/Line00119,Looks like my scout's wrapping things up.=265
Conversation/AICommunication/Line00120,Yeah, that's not happenin' right now.=266
Conversation/AICommunication/Line00121,Great... Scout's dead.=267
Conversation/AICommunication/Line00122,They got my scout!=268
Conversation/AICommunication/Line00123,Get that command center built.=269
Conversation/AICommunication/Line00124,Not gonna be able to pull that one off.=270
Conversation/AICommunication/Line00125,Alright, I'm taking an expansion.=271
Conversation/AICommunication/Line00126,Build a raven, boys. Pronto.=272
Conversation/AICommunication/Line00127,They busted my raven!=273
Conversation/AICommunication/Line00128,Raven heading out.=274
Conversation/AICommunication/Line00129,I'm gonna have to say no for now.=275
Conversation/AICommunication/Line00130,Their base is over here.=276
Conversation/AICommunication/Line00131,Kinda far out for a building, don't ya think?=277
Conversation/AICommunication/Line00132,And that would be the base.=278
Conversation/AICommunication/Line00133,Well, what do we have here.=279
Conversation/AICommunication/Line00134,Ran into an enemy base.=280
Conversation/AICommunication/Line00135,Looks like the bad guys have set up shop here.=281
Conversation/AICommunication/Line00136,That's one way to find the enemy.=282
Conversation/AICommunication/Line00137,Looks like the enemy's shown themselves.=283
Conversation/AICommunication/Line00138,That's a zerg structure.=284
Conversation/AICommunication/Line00139,Terran building sighted, and it ain't one of mine.=285
Conversation/AICommunication/Line00140,We've found a protoss structure over here.=286
Conversation/AICommunication/Line00141,Well, there's definitely enemy protoss out here.=287
Conversation/AICommunication/Line00142,There's some hostile terrans out here.=288
Conversation/AICommunication/Line00143,Aw man, zerg.=289
Conversation/AICommunication/Line00144,The protoss are looking for a fight.=290
Conversation/AICommunication/Line00145,Terrans... Kill them.=291
Conversation/AICommunication/Line00146,看来得提醒下那些异虫，到底谁才是女王。=292
Conversation/AICommunication/Line00147,That's a protoss building.=293
Conversation/AICommunication/Line00148,This building is terran in origin.=294
Conversation/AICommunication/Line00149,This structure belongs to an enemy brood.=295
Conversation/AICommunication/Line00150,The enemy's base is here.=296
Conversation/AICommunication/Line00151,Our enemy is headquartered here.=297
Conversation/AICommunication/Line00152,There. Our foe's base.=298
Conversation/AICommunication/Line00153,Here. We've found the enemy's base.=299
Conversation/AICommunication/Line00154,Strange. This structure doesn't belong here.=300
Conversation/AICommunication/Line00155,This base belongs to our foes.=301
Conversation/AICommunication/Line00156,The enemy's forces have presented themselves.=302
Conversation/AICommunication/Line00157,The enemy. Good, I was getting bored.=303
Conversation/AICommunication/Line00158,The Swarm is assaulting here.=304
Conversation/AICommunication/Line00159,The Swarm spares no one!=305
Conversation/AICommunication/Line00160,My forces are not ready yet.=306
Conversation/AICommunication/Line00161,让他们来吧。=307
Conversation/AICommunication/Line00162,The enemy will regret coming here.=308
Conversation/AICommunication/Line00163,Curious, this building is far from a base.=309
Conversation/AICommunication/Line00164,My forces need time to prepare.=310
Conversation/AICommunication/Line00165,My brood is engaging here.=311
Conversation/AICommunication/Line00166,Slay them all! No quarter!=312
Conversation/AICommunication/Line00167,We must return to the hive cluster.=313
Conversation/AICommunication/Line00168,We're pulling back.=314
Conversation/AICommunication/Line00169,I am morphing more zerg. We will attack when ready.=315
Conversation/AICommunication/Line00170,Extending control.=316
Conversation/AICommunication/Line00171,The Swarm is mine once again.=317
Conversation/AICommunication/Line00172,We need detection.=318
Conversation/AICommunication/Line00173,We are being overwhelmed!=319
Conversation/AICommunication/Line00174,Where are the reinforcements?=320
Conversation/AICommunication/Line00175,Sending a scout now.=321
Conversation/AICommunication/Line00176,We concur. Our forces are en route.=322
Conversation/AICommunication/Line00178,Our warriors are being readied.=323
Conversation/AICommunication/Line00179,Here, we make our stand.=324
Conversation/AICommunication/Line00180,We require additional warriors.=325
Conversation/AICommunication/Line00181,Our forces will assault this location.=326
Conversation/AICommunication/Line00182,We cannot survive this battle.=327
Conversation/AICommunication/Line00183,Our warriors must pull back.=328
Conversation/AICommunication/Line00184,This fight is lost. We retreat.=329
Conversation/AICommunication/Line00185,We will require additional troops.=330
Conversation/AICommunication/Line00186,I am resuming control.=331
Conversation/AICommunication/Line00187,We have lost the enemy. Detection is required.=332
Conversation/AICommunication/Line00188,We require reinforcement.=333
Conversation/AICommunication/Line00189,Quickly, send aid! The battle can still be won!=334
Conversation/AICommunication/Line00190,The khala will guide my hand.=335
Conversation/AICommunication/Line00191,We are exploring this area.=336
Conversation/AICommunication/Line00192,We have sent forth a scout.=337
Conversation/AICommunication/Line00194,Scouting mission completed.=338
Conversation/AICommunication/Line00195,Our scout returns.=339
Conversation/AICommunication/Line00196,We are unable to reach that location.=340
Conversation/AICommunication/Line00197,We cannot reach that location.=341
Conversation/AICommunication/Line00198,We cannot access this location. Our scouts will be sent as soon as they can.=342
Conversation/AICommunication/Line00199,Our scout has been destroyed! Another will replace it!=343
Conversation/AICommunication/Line00200,The enemy has destroyed our scout! We will send another.=344
Conversation/AICommunication/Line00201,We will supply an observer as requested.=345
Conversation/AICommunication/Line00202,Returning our observer to base.=346
Conversation/AICommunication/Line00203,Our observer must return.=347
Conversation/AICommunication/Line00204,We will have detection available soon.=348
Conversation/AICommunication/Line00205,They have destroyed our detector!=349
Conversation/AICommunication/Line00206,We must secure additional resources.=350
Conversation/AICommunication/Line00207,We are attempting to secure this expansion.=351
Conversation/AICommunication/Line00208,Dimensional warp sequence beginning. Nexus will arrive shortly.=352
Conversation/AICommunication/Line00209,Warping in a Nexus.=353
Conversation/AICommunication/Line00210,Nexus warp sequence: initiated.=354
Conversation/AICommunication/Line00211,Nexus warp coordinates confirmed.=355
Conversation/AICommunication/Line00212,Dimensional coordinates locked. Nexus in warp.=356
Conversation/AICommunication/Line00213,This location cannot be reached.=357
Conversation/AICommunication/Line00214,We will not be able to expand to this location.=358
Conversation/AICommunication/Line00215,发现敌方星灵。准备作战。=359
Conversation/AICommunication/Line00216,侦测到敌对人类部队。=360
Conversation/AICommunication/Line00217,发现敌方异虫部队。=361
Conversation/AICommunication/Line00218,A protoss structure.=362
Conversation/AICommunication/Line00219,Enemy protoss forces are building here.=363
Conversation/AICommunication/Line00220,The terran forces have positioned themselves here.=364
Conversation/AICommunication/Line00221,The terrans have built upon this location.=365
Conversation/AICommunication/Line00222,The zerg have built upon this ground.=366
Conversation/AICommunication/Line00223,This structure belongs to the zerg.=367
Conversation/AICommunication/Line00224,An enemy's headquarters.=368
Conversation/AICommunication/Line00225,We have discovered an enemy base.=369
Conversation/AICommunication/Line00226,This base belongs to the enemy.=370
Conversation/AICommunication/Line00227,The enemy has built up a base here.=371
Conversation/AICommunication/Line00228,The enemy's base is here.=372
Conversation/AICommunication/Line00229,Our enemies gather here.=373
Conversation/AICommunication/Line00230,Odd, this building is far from the enemy's protection.=374
Conversation/AICommunication/Line00231,There is much knowledge to be gained.=375
Conversation/AICommunication/Line00232,Done. My scout is returning.=376
Conversation/AICommunication/Line00233,那不可能。=377
Conversation/AICommunication/Line00234,The Swarm reveals all secrets.=378
Conversation/AICommunication/Line00235,Nevermind, I'm taking my detector back.=379
Conversation/AICommunication/Line00236,How dare they kill my scout!=380
Conversation/AICommunication/Line00237,I'm busy. We'll scout later.=381
Conversation/AICommunication/Line00238,I'm morphing detection now.=382
Conversation/AICommunication/Line00239,My detector has been killed!=383
Conversation/AICommunication/Line00240,This expansion belongs to the Swarm.=384
Conversation/AICommunication/Line00241,I claim these minerals.=385
Conversation/AICommunication/Line00242,We must expand.=386
Conversation/AICommunication/Line00243,The Swarm grows.=387
Conversation/AICommunication/Line00244,Mutating a hatchery now.=388
Conversation/AICommunication/Line00245,I've placed a hatchery here.=389
Conversation/AICommunication/Line00246,Implating a hatchery.=390
Conversation/AICommunication/Line00247,We cannot reach that location.=391
Conversation/AICommunication/Line00248,No. This area is not suitable for expansion.=392
Conversation/AICommunication/Line00249,Vanquish the enemy!=393
Conversation/AICommunication/Line00250,We cannot hold! We must return to base!=394
Conversation/AICommunication/Line00251,The enemy is too strong. We are regrouping.=395
Conversation/AICommunication/Line00252,They are too powerful! I am pulling back my troops.=396
Conversation/AICommunication/Line00253,Let our enemies feel the might of the khala!=397
Conversation/AICommunication/Line00254,Strike now, warriors!=398
Conversation/AICommunication/Line00255,Fight with all you have, children of aiur!=399
Conversation/AICommunication/Line00256,Victory is within our grasp! Do not relent!=400
Conversation/AICommunication/Line00257,Fight on! For eternal glory, to the end!=401
Conversation/AICommunication/Line00258,Gotcha. We're moving out.=402
Conversation/AICommunication/Line00259,We're all in boys! Smoke 'em!=403
Conversation/AICommunication/Line00260,This is it! No backing down now!=404
Conversation/AICommunication/Line00261,Alright, we're going hot!=405
Conversation/AICommunication/Line00262,Alright raiders, hit em here!=406
Conversation/AICommunication/Line00263,The Swarm moves.=407
Conversation/AICommunication/Line00264,My brood is on the way.=408
Conversation/AICommunication/Line00265,Yes, we spare no one.=409
Conversation/AICommunication/Line00266,Go my children, destroy them.=410
Conversation/AICommunication/Line00267,My Swarm will tear them apart.=411
Conversation/AICommunication/Line00268,Remain on your guard, warriors!=412
Conversation/AICommunication/Line00269,You got a detector? Something's lurking in the shadows...=413
Conversation/AICommunication/Line00270,了解。=414
Conversation/AICommunication/Line00271,We concur.=415
Conversation/AICommunication/Line00272,明白。=416
Conversation/AICommunication/Line00273,好的。=417
Conversation/AICommunication/Line00276,同意。=418
Conversation/AICommunication/Line00277,没问题。=419
Conversation/AICommunication/Line00278,好！=420
Conversation/AICommunication/Line00279,同意。=421
Conversation/AICommunication/Line00280,I'm not ready.=422
Conversation/AICommunication/Line00281,不可能。=423
Conversation/AICommunication/Line00282,We must secure additional resources.=424
Conversation/AICommunication/Line00283,我们同心同力。=425
Conversation/Challengescombined/Line00001,第1轮=426
Conversation/Challengescombined/Line00002,第2轮=427
Conversation/Challengescombined/Line00003,第3轮=428
Conversation/Challengescombined/Line00004,新的纪录！=429
Conversation/Challengescombined/Line00005,欢迎您，指挥官。=430
Conversation/Challengescombined/Line00006,您在本次演习的任务是控制有限的部队来对敌人造成最大的伤害。=431
Conversation/Challengescombined/Line00007,您的单位的特殊能力是获得高分的关键，请明智使用。=432
Conversation/Challengescombined/Line00008,在您准备完毕点击就绪按钮之前，您无法伤害敌人。=433
Conversation/Challengescombined/Line00009,你必须尽可能地利用现有的虫群消灭更多的敌人。=434
Conversation/Challengescombined/Line00010,去侦查敌对基地，当你准备好袭击时点击就绪按钮。=435
Conversation/Challengescombined/Line00011,时间紧迫！全力攻击，不要留情！=436
Conversation/Challengescombined/Line00012,En Taro Tassadar，初学者。一名星灵的战士必须学会与多如繁星的敌人战斗。=437
Conversation/Challengescombined/Line00013,本次演习你需要控制一支小队来对抗数波的攻击，尽可能地歼灭他们。=438
Conversation/Challengescombined/Line00014,利用战场的地形来建立优势，只在地形有利的时候进行作战。=439
Conversation/Challengescombined/Line00015,En Taro Tassadar，初学者。一名星灵战士要明白自己的长处、了解敌人的弱点。=440
Conversation/Challengescombined/Line00016,本次演习你要使用有限的兵力来保护三座水晶塔。=441
Conversation/Challengescombined/Line00017,三座塔相隔很远，你必须分兵来保护它们。=442
Conversation/Challengescombined/Line00018,了解敌人后再部署单位，以此来更有效率地克制敌人。=443
Conversation/Challengescombined/Line00019,当你部署完毕后，点击就绪按钮即可开始。=444
Conversation/Challengescombined/Line00020,留意，尝试离开部署区域会招致惩罚。=445
Conversation/Challengescombined/Line00021,这三座塔受到威胁。你必须用现有的兵力进行防守。=446
Conversation/Challengescombined/Line00022,三座塔相隔很远，你必须分兵来保护它们。=447
Conversation/Challengescombined/Line00023,小心应对你的敌人。有针对性地派遣你的仆从来克制每一队敌人。=448
Conversation/Challengescombined/Line00024,当你准备完毕后，点击就绪按钮即可开始。=449
Conversation/Challengescombined/Line00025,我警告你！尝试离开部署区域的行为是不可容忍的！=450
Conversation/Challengescombined/Line00026,您好，指挥官。您在本次演习的任务是使用有限的部队来保护三座补给站。=451
Conversation/Challengescombined/Line00027,这些补给站相距很远，您需要对每个补给站分配兵力，进行保护。=452
Conversation/Challengescombined/Line00028,您可以尝试通过编队这一方式来对敌人发动有效的反击。=453
