Character/Name/ArtanisUI,Artanis /// Artanis=0
Conversation/AICommunication/Line00003,Vamos com tudo, Saqueadores! /// Give it all you got, Raiders!=59
Conversation/AICommunication/Line00004,Pode seguir em frente. Vamos manter essa posição segura. /// You move on, we'll keep this patch secured.=60
Conversation/AICommunication/Line00005,Solo sagrado, né? Vamos mantê-lo a salvo. /// Holy ground, huh? We'll keep her safe.=61
Conversation/AICommunication/Line00006,Vai ser preciso um exército pra isso. Nós vamos lá quando pudermos. /// Gonna need an army for that. We'll get out there when we can.=62
Conversation/AICommunication/Line00007,Ainda treinando tropas. Vou mandar meus homens pra lá o mais rápido possível. /// Still training troops. I'll get my men out there ASAP.=63
Conversation/AICommunication/Line00008,O centro de comando indo pelos ares. /// Command center going up over here.=64
Conversation/AICommunication/Line00009,Estamos tomando uma surra! Recuar! /// We're taking a licking! Heading back!=65
Conversation/AICommunication/Line00010,Cadê você? Estamos morrendo aqui! /// Where are you? We're dying out here!=66
Conversation/AICommunication/Line00011,Precisamos de reforço agora! /// We need backup, pronto!=67
Conversation/AICommunication/Line00012,Agora é uma boa hora pra reforços. /// Now would be a great time for reinforcements.=68
Conversation/AICommunication/Line00013,Tem alguma coisa se movendo ali! Precisamos de detecção! /// There's something moving out here! We need detection!=69
Conversation/AICommunication/Line00014,Acho que eu vou voltar a comandar esse show. /// Think I'll get back to running this show.=70
Conversation/AICommunication/Line00015,Tá legal, tô retomando o controle. /// Alright, I'm taking back control.=71
Conversation/AICommunication/Line00016,Uma olhadinha não vai machucar. /// Can't hurt to take a look.=72
Conversation/AICommunication/Line00017,Esquadrinhamos a área. Batedor voltando à base. /// We've scoped out this area. Scout's heading back to base.=73
Conversation/AICommunication/Line00018,Quando eu tiver treinado alguns soldados nós partimos. /// Once I've trained up some soldiers we'll head out.=74
Conversation/AICommunication/Line00019,Não consigo chegar lá, parceiro. /// Can't reach that location, partner.=75
Conversation/AICommunication/Line00020,Tô um pouco ocupado aqui. Envio alguma coisa em um minuto. /// Little busy here. I'll send something out in a minute.=76
Conversation/AICommunication/Line00021,Droga, destruíram meu VCE. Estou enviando outro. /// Dammit, they killed my SCV. I'm sending out another.=77
Conversation/AICommunication/Line00022,Detecção a caminho. /// Detection on the way.=78
Conversation/AICommunication/Line00023,Este corvo está voltando para a base. /// Taking this raven back to base.=79
Conversation/AICommunication/Line00024,Construindo um corvo agora. /// Building a raven now.=80
Conversation/AICommunication/Line00025,O corvo foi abatido. Outro a caminho! /// The raven's down. I'll send another!=81
Conversation/AICommunication/Line00026,Vamos tomar aquela expansão. /// We're going to take that expansion.=82
Conversation/AICommunication/Line00027,Estabelecendo centro de comando. /// Putting up a command center.=83
Conversation/AICommunication/Line00028,Não alcanço. /// Can't reach that.=84
Conversation/AICommunication/Line00029,Parece que vamos encarar alguns protoss. /// Looks like we're facing some protoss.=85
Conversation/AICommunication/Line00030,É, parece que nosso inimigo é terrano. /// Well, looks like our enemy is terran.=86
Conversation/AICommunication/Line00031,Temos zergs aqui! /// We've got zerg over here!=87
Conversation/AICommunication/Line00032,Essa estrutura é protoss. /// That's a protoss building.=88
Conversation/AICommunication/Line00033,Olha só, projetos tipicamente terranos. /// Well, there's some familiar terran designs.=89
Conversation/AICommunication/Line00034,Parece uma estrutura zerg. /// Looks like a zerg building.=90
Conversation/AICommunication/Line00035,Parece que encontramos uma base. /// Looks like we've found a base.=91
Conversation/AICommunication/Line00036,Inimigo logo à frente. /// Bad guys, straight ahead.=92
Conversation/AICommunication/Line00037,O quê que essa construção tá fazendo aqui nesse lugar? /// What the hell is this building doing all the way out here?=93
Conversation/AICommunication/Line00038,Nós sempre seguimos em frente. /// We march forth.=94
Conversation/AICommunication/Line00039,Entendido. Nossos guerreiros estão se movendo. /// Understood. Our warriors move.=95
Conversation/AICommunication/Line00040,Precisamos de mais guerreiros. Atacaremos assim que estivermos prontos. /// We require more warriors. We shall attack once ready.=96
Conversation/AICommunication/Line00041,Nada passará. /// None shall pass.=97
Conversation/AICommunication/Line00042,Começaremos a defesa assim que nossos guerreiros tiverem feito a transdobra. /// We will defend once our warriors have warped in.=98
Conversation/AICommunication/Line00043,Marchamos para a vitória! /// We move for victory!=99
Conversation/AICommunication/Line00044,Retirada! /// We must retreat!=100
Conversation/AICommunication/Line00045,O ataque começará assim que nossos guerreiros tiverem feito a transdobra. /// The attack will commence once our warriors have warped in.=101
Conversation/AICommunication/Line00046,Eu estou no comando. /// I am in command.=102
Conversation/AICommunication/Line00047,Um inimigo se camuflou! Precisamos de detecção! /// The enemy has cloaked! We require detection!=103
Conversation/AICommunication/Line00048,Nossas forças estão sendo atacadas! /// Our forces are under attack!=104
Conversation/AICommunication/Line00049,Nossos batedores foram nessa direção. /// Our scouts are headed to this location.=105
Conversation/AICommunication/Line00050,Nosso grupo de reconhecimento voltou. /// Our scouting party returns.=106
Conversation/AICommunication/Line00051,Nossos batedores se deslocarão assim que possível. /// Our scouts will head to this location as soon as they can.=107
Conversation/AICommunication/Line00052,Nenhum batedor consegue chegar nesse lugar. /// Our scout is unable to reach this location.=108
Conversation/AICommunication/Line00053,Nosso batedor foi destruído! Outro está a caminho! /// Our scout has been destroyed! We are sending another!=109
Conversation/AICommunication/Line00054,Um vigia está a caminho. /// An observer is on its way.=110
Conversation/AICommunication/Line00055,Nosso detector precisa voltar à base. /// Our detector must return to base.=111
Conversation/AICommunication/Line00056,Vamos transdobrar um detector imediatamente. /// We are warping in a detector, immediately.=112
Conversation/AICommunication/Line00057,Nosso detector foi destruído! Outro está a caminho! /// Our detector has been slain! We are sending another!=113
Conversation/AICommunication/Line00058,Este local é ideal para nossa expansão. /// This location is ideal for our expansion.=114
Conversation/AICommunication/Line00059,Expansão assegurada. Vamos transdobrar um Nexus imediatamente. /// Expansion secured. We are warping in a Nexus now.=115
Conversation/AICommunication/Line00060,Nossas forças não conseguem chegar lá. /// Our forces cannot reach that location.=116
Conversation/AICommunication/Line00061,Nosso inimigo é Protoss. /// Our enemy is Protoss.=117
Conversation/AICommunication/Line00062,Encontramos inimigos terranos. /// We have encountered enemy terrans.=118
Conversation/AICommunication/Line00063,Zergs hostis saíram de seus buracos. /// Hostile zerg have shown themselves.=119
Conversation/AICommunication/Line00064,Encontramos uma estrutura inimiga protoss. /// We have encountered an enemy Protoss structure.=120
Conversation/AICommunication/Line00065,Esta estrutura pertence aos terranos. /// This building belongs to the terrans.=121
Conversation/AICommunication/Line00066,Esta estrutura está impregnada com a presença zerg. /// This building bears the tainted flesh of the zerg.=122
Conversation/AICommunication/Line00067,A base do inimigo foi descoberta. /// The enemy's base has been discovered.=123
Conversation/AICommunication/Line00068,Encontramos os inimigos! /// We have encountered the enemy!=124
Conversation/AICommunication/Line00069,Destrua tudo no seu caminho! /// Leave nothing behind!=125
Conversation/AICommunication/Line00070,Não estou pronta. Vamos atacar quando eu tiver transmutado zergs suficientes. /// I'm not ready. We'll attack once I've morphed enough zerg.=126
Conversation/AICommunication/Line00071,Temos uma surpresa pra eles. /// We'll have a surprise in store for them.=127
Conversation/AICommunication/Line00072,Meu exército não é grande o suficiente. Eu darei início às defesas assim que puder. /// My army isn't large enough. I'll defend as soon as I'm able.=128
Conversation/AICommunication/Line00073,Estamos procurando as fraquezas do inimigo. /// We are probing the enemy for weakness.=129
Conversation/AICommunication/Line00074,O Enxame está voltando para a base. Estamos sofrendo muitas perdas. /// The Swarm is returning to base. We're taking too many losses.=130
Conversation/AICommunication/Line00075,Agora nós fazemos as coisas do meu jeito. /// Now we do things my way.=131
Conversation/AICommunication/Line00076,O inimigo pode se camuflar! /// The enemy can cloak!=132
Conversation/AICommunication/Line00077,Nossas forças estão sendo atacadas! /// Our forces are under attack!=133
Conversation/AICommunication/Line00078,Então os protoss querem começar uma batalha. /// So the protoss wish to do battle.=134
Conversation/AICommunication/Line00079,O inimigo é terrano. /// The enemy is terran.=135
Conversation/AICommunication/Line00080,Uma casta inimiga quer nos desafiar? /// An enemy brood wishes to challenge us?=136
Conversation/AICommunication/Line00081,Eu concordo. Começaremos o ataque assim que meu exército estiver pronto. /// I agree. We will begin the attack once my army is ready.=137
Conversation/AICommunication/Line00082,Encontramos uma estrutura protoss. /// We've encountered a protoss structure.=138
Conversation/AICommunication/Line00083,Há um aglomerado de colmeias zerg inimigo perto daqui. /// There's an enemy zerg hive cluster around here.=139
Conversation/AICommunication/Line00084,Descobrimos a base do inimigo. /// We've discovered the enemy's base.=140
Conversation/AICommunication/Line00085,Encontramos os inimigos! /// We've encountered the enemy!=141
Conversation/AICommunication/Line00086,Por que construiriam essa estrutura aqui? /// Why would they build this structure out here?=142
Conversation/AICommunication/Line00087,Nosso batedor está se movendo. /// Our scout is on the move.=143
Conversation/AICommunication/Line00088,Fizemos o reconhecimento da área. Estou levando meu batedor de volta. /// We've scouted the area. I'm taking my scout back.=144
Conversation/AICommunication/Line00089,Meu batedor não consegue chegar lá. /// My scout cannot reach that location.=145
Conversation/AICommunication/Line00090,Só um minutinho. Vou fazer o reconhecimento assim que puder. /// Give me a moment. I'll scout as soon as I can.=146
Conversation/AICommunication/Line00091,Mataram meu batedor! Vou mandar outro. /// They killed my scout! I'm sending another.=147
Conversation/AICommunication/Line00092,Requisito detecção para outros propósitos. /// I require detection for other purposes.=148
Conversation/AICommunication/Line00093,É hora de descobrir o que está acontecendo de verdade. /// It's time to find out what's really going on.=149
Conversation/AICommunication/Line00094,Estou me transmutando o mais rápido que posso. /// I'm morphing as quickly as I can.=150
Conversation/AICommunication/Line00095,Mataram meu detector! Vou mandar outro. /// They've killed the detector! I'm sending another.=151
Conversation/AICommunication/Line00096,Estamos tomando esta expansão. /// We're taking this expansion.=152
Conversation/AICommunication/Line00097,Aglomerado de colmeias implantado. /// Hive cluster implanted.=153
Conversation/AICommunication/Line00098,Nossos zangões não conseguem chegar nesse lugar. /// Our drones cannot reach this location.=154
Conversation/AICommunication/Line00099,Uma estrutura terrana... /// A terran building...=155
Conversation/AICommunication/Line00100,Avante, saqueadores. /// Plant it, raiders.=156
Conversation/AICommunication/Line00101,Meu pessoal está em treinamento agora mesmo. /// My boys are training right now.=157
Conversation/AICommunication/Line00102,Pode contar com a gente. /// You can count on us.=158
Conversation/AICommunication/Line00103,Deixando o local, e numa boa. /// Heading out, and playing it cool.=159
Conversation/AICommunication/Line00104,Enfrentando uma resistência ferrenha. /// Encountering some tough resistance.=160
Conversation/AICommunication/Line00105,Meu pessoal está voltando pra base. /// My guys are headed back to base.=161
Conversation/AICommunication/Line00106,Estamos voltando. /// We're heading back.=162
Conversation/AICommunication/Line00107,Estou ordenando um ataque! /// I'm ordering an attack here!=163
Conversation/AICommunication/Line00108,Tá na hora de depenar esses caras. /// Let's ruffle their feathers a bit!=164
Conversation/AICommunication/Line00109,As coisas aqui estão frenéticas. /// It's a little too crazy out here.=165
Conversation/AICommunication/Line00110,Tá legal, Saqueadores, de volta ao meu comando. /// Alright Raiders, back under my command.=166
Conversation/AICommunication/Line00111,Hora de voltar ao trabalho. /// Time to get back to business.=167
Conversation/AICommunication/Line00112,Fim do reconhecimento. /// Done scouting.=168
Conversation/AICommunication/Line00113,Tudo pronto aqui. Vou levar o batedor de volta. /// All done here. I'll take that scout back.=169
Conversation/AICommunication/Line00114,Estou enviando um batedor agora. /// Sending a scout now.=170
Conversation/AICommunication/Line00115,Batedor a caminho. /// Scout's on the way.=171
Conversation/AICommunication/Line00116,Meu batedor não consegue chegar lá. /// My scout can't get there.=172
Conversation/AICommunication/Line00117,Você tem um teleportador? Senão, a gente não vai conseguir chegar lá. /// You got a teleporter? Otherwise, we ain't getting there.=173
Conversation/AICommunication/Line00118,Não vai rolar. /// Not happenin'.=174
Conversation/AICommunication/Line00119,Parece que meus batedores estão arrebentando. /// Looks like my scout's wrapping things up.=175
Conversation/AICommunication/Line00120,É, isso não vai dar agora. /// Yeah, that's not happenin' right now.=176
Conversation/AICommunication/Line00121,Ótimo... o batedor está morto. /// Great... Scout's dead.=177
Conversation/AICommunication/Line00122,Pegaram meu batedor! /// They got my scout!=178
Conversation/AICommunication/Line00123,Construa o centro de comando. /// Get that command center built.=179
Conversation/AICommunication/Line00124,Aquele não vai dar. /// Not gonna be able to pull that one off.=180
Conversation/AICommunication/Line00125,Tá legal, estou tomando uma expansão. /// Alright, I'm taking an expansion.=181
Conversation/AICommunication/Line00126,Construam um corvo, agora. /// Build a raven, boys. Pronto.=182
Conversation/AICommunication/Line00127,Eles pegaram meu corvo! /// They busted my raven!=183
Conversation/AICommunication/Line00128,Corvo deixando o local. /// Raven heading out.=184
Conversation/AICommunication/Line00129,Vou ter que dizer não, por enquanto. /// I'm gonna have to say no for now.=185
Conversation/AICommunication/Line00130,A base deles é por aqui. /// Their base is over here.=186
Conversation/AICommunication/Line00131,Meio deslocada pra uma estrutura, você não acha? /// Kinda far out for a building, don't ya think?=187
Conversation/AICommunication/Line00132,É, e essa seria a base. /// And that would be the base.=188
Conversation/AICommunication/Line00133,Olha, o que que é isso aqui? /// Well, what do we have here.=189
Conversation/AICommunication/Line00134,Dei de cara com uma base inimiga. /// Ran into an enemy base.=190
Conversation/AICommunication/Line00135,Parece que os inimigos se instalaram aqui. /// Looks like the bad guys have set up shop here.=191
Conversation/AICommunication/Line00136,Essa é uma maneira de encontrar o inimigo. /// That's one way to find the enemy.=192
Conversation/AICommunication/Line00137,Parece que o inimigo mostrou sua cara. /// Looks like the enemy's shown themselves.=193
Conversation/AICommunication/Line00138,Isso é uma estrutura zerg. /// That's a zerg structure.=194
Conversation/AICommunication/Line00139,Construção terrana avistada, e não é uma das minhas. /// Terran building sighted, and it ain't one of mine.=195
Conversation/AICommunication/Line00140,Encontramos uma estrutura protoss aqui. /// We've found a protoss structure over here.=196
Conversation/AICommunication/Line00141,Ah, com certeza há protoss inimigos por aqui. /// Well, there's definitely enemy protoss out here.=197
Conversation/AICommunication/Line00142,Há alguns terranos hostis por aqui. /// There's some hostile terrans out here.=198
Conversation/AICommunication/Line00143,Que saco, zergs. /// Aw man, zerg.=199
Conversation/AICommunication/Line00144,Os protoss estão procurando briga. /// The protoss are looking for a fight.=200
Conversation/AICommunication/Line00145,Terranos... Matem todos. /// Terrans... Kill them.=201
Conversation/AICommunication/Line00146,Estes zergs precisam ser lembrados de quem é a rainha deles. /// These zerg need to be reminded who their queen is.=202
Conversation/AICommunication/Line00147,Essa estrutura é protoss. /// That's a protoss building.=203
Conversation/AICommunication/Line00148,Essa estrutura é de origem terrana. /// This building is terran in origin.=204
Conversation/AICommunication/Line00149,Essa estrutura pertence a uma casta inimiga. /// This structure belongs to an enemy brood.=205
Conversation/AICommunication/Line00150,A base do inimigo é aqui. /// The enemy's base is here.=206
Conversation/AICommunication/Line00151,Nosso inimigo está aquartelado aqui. /// Our enemy is headquartered here.=207
Conversation/AICommunication/Line00152,Lá. A base inimiga. /// There. Our foe's base.=208
Conversation/AICommunication/Line00153,Aqui. Encontramos a base do inimigo. /// Here. We've found the enemy's base.=209
Conversation/AICommunication/Line00154,Estranho. Essa estrutura parece deslocada. /// Strange. This structure doesn't belong here.=210
Conversation/AICommunication/Line00155,Essa base pertence aos nossos inimigos. /// This base belongs to our foes.=211
Conversation/AICommunication/Line00156,As forças inimigas já se apresentaram. /// The enemy's forces have presented themselves.=212
Conversation/AICommunication/Line00157,O inimigo. Excelente, já estava ficando entediada. /// The enemy. Good, I was getting bored.=213
Conversation/AICommunication/Line00158,O Enxame está atacando aqui. /// The Swarm is assaulting here.=214
Conversation/AICommunication/Line00159,O Enxame não poupa ninguém! /// The Swarm spares no one!=215
Conversation/AICommunication/Line00160,Minhas forças ainda não estão prontas. /// My forces are not ready yet.=216
Conversation/AICommunication/Line00161,Deixem que venham. /// Let them come.=217
Conversation/AICommunication/Line00162,O inimigo se arrependerá de ter vindo aqui. /// The enemy will regret coming here.=218
Conversation/AICommunication/Line00163,Estranho... Essa construção está longe de uma base. /// Curious, this building is far from a base.=219
Conversation/AICommunication/Line00164,Minhas forças precisam de tempo para se prepararem. /// My forces need time to prepare.=220
Conversation/AICommunication/Line00165,Minha casta está cuidando daqui. /// My brood is engaging here.=221
Conversation/AICommunication/Line00166,Matem todos! Sem misericórdia! /// Slay them all! No quarter!=222
Conversation/AICommunication/Line00167,Precisamos voltar para o Aglomerado de Colmeias! /// We must return to the hive cluster.=223
Conversation/AICommunication/Line00168,Estamos recuando. /// We're pulling back.=224
Conversation/AICommunication/Line00169,Estou transmutando mais zergs. Atacaremos quando estivermos prontos. /// I am morphing more zerg. We will attack when ready.=225
Conversation/AICommunication/Line00170,Estendendo controle. /// Extending control.=226
Conversation/AICommunication/Line00171,O Enxame é meu novamente. /// The Swarm is mine once again.=227
Conversation/AICommunication/Line00172,Precisamos de detecção. /// We need detection.=228
Conversation/AICommunication/Line00173,Estamos sendo esmagados! /// We are being overwhelmed!=229
Conversation/AICommunication/Line00174,Onde estão os reforços? /// Where are the reinforcements?=230
Conversation/AICommunication/Line00175,Estou enviando um batedor agora. /// Sending a scout now.=231
Conversation/AICommunication/Line00176,Concordamos. Nossas forças estão a caminho. /// We concur. Our forces are en route.=232
Conversation/AICommunication/Line00178,Nossos guerreiros estão sendo preparados. /// Our warriors are being readied.=233
Conversation/AICommunication/Line00179,Aqui nós resistiremos. /// Here, we make our stand.=234
Conversation/AICommunication/Line00180,Precisamos de mais guerreiros. /// We require additional warriors.=235
Conversation/AICommunication/Line00181,Nossas forças atacarão esse lugar. /// Our forces will assault this location.=236
Conversation/AICommunication/Line00182,Não vamos sobreviver a esta batalha. /// We cannot survive this battle.=237
Conversation/AICommunication/Line00183,Nossos guerreiros precisam recuar. /// Our warriors must pull back.=238
Conversation/AICommunication/Line00184,Esta luta está perdida. Retirada. /// This fight is lost. We retreat.=239
Conversation/AICommunication/Line00185,Precisaremos de mais tropas. /// We will require additional troops.=240
Conversation/AICommunication/Line00186,Estou retomando o controle. /// I am resuming control.=241
Conversation/AICommunication/Line00187,Perdemos o inimigos. Precisamos fazer uma detecção. /// We have lost the enemy. Detection is required.=242
Conversation/AICommunication/Line00188,Precisamos de reforços. /// We require reinforcement.=243
Conversation/AICommunication/Line00189,Rápido, mandem ajuda! A batalha ainda pode ser vencida! /// Quickly, send aid! The battle can still be won!=244
Conversation/AICommunication/Line00190,O khala guiará minha mão. /// The khala will guide my hand.=245
Conversation/AICommunication/Line00191,Estamos explorando esta área. /// We are exploring this area.=246
Conversation/AICommunication/Line00192,Enviamos um batedor. /// We have sent forth a scout.=247
Conversation/AICommunication/Line00194,Missão de reconhecimento concluída. /// Scouting mission completed.=248
Conversation/AICommunication/Line00195,Nosso batedor está de volta. /// Our scout returns.=249
Conversation/AICommunication/Line00196,Não podemos chegar naquela posição. /// We are unable to reach that location.=250
Conversation/AICommunication/Line00197,É impossível chegarmos lá. /// We cannot reach that location.=251
Conversation/AICommunication/Line00198,Não podemos chegar nesse lugar. Nossos batedores irão para lá assim que possível. /// We cannot access this location. Our scouts will be sent as soon as they can.=252
Conversation/AICommunication/Line00199,Nosso batedor foi destruído! Outro irá substituí-lo! /// Our scout has been destroyed! Another will replace it!=253
Conversation/AICommunication/Line00200,O inimigo destruiu nosso batedor! Enviaremos outro. /// The enemy has destroyed our scout! We will send another.=254
Conversation/AICommunication/Line00201,Vamos manter um vigia, como solicitado. /// We will supply an observer as requested.=255
Conversation/AICommunication/Line00202,O vigia está retornando à base. /// Returning our observer to base.=256
Conversation/AICommunication/Line00203,Nosso vigia deve retornar. /// Our observer must return.=257
Conversation/AICommunication/Line00204,A detecção estará disponível logo. /// We will have detection available soon.=258
Conversation/AICommunication/Line00205,Eles destruíram nosso detector! /// They have destroyed our detector!=259
Conversation/AICommunication/Line00206,Precisamos manter a segurança dos recursos adicionais. /// We must secure additional resources.=260
Conversation/AICommunication/Line00207,Estamos tentando manter essa expansão segura. /// We are attempting to secure this expansion.=261
Conversation/AICommunication/Line00208,Iniciando sequência de transdobra dimensional. O Nexus chegará logo. /// Dimensional warp sequence beginning. Nexus will arrive shortly.=262
Conversation/AICommunication/Line00209,Transdobrando um Nexus. /// Warping in a Nexus.=263
Conversation/AICommunication/Line00210,Sequência de transdobra do Nexus iniciada. /// Nexus warp sequence: initiated.=264
Conversation/AICommunication/Line00211,Coordenadas de transdobra do Nexus confirmadas. /// Nexus warp coordinates confirmed.=265
Conversation/AICommunication/Line00212,Coordenadas dimensionais travadas. Transdobrando Nexus. /// Dimensional coordinates locked. Nexus in warp.=266
Conversation/AICommunication/Line00213,Não podemos chegar a este local. /// This location cannot be reached.=267
Conversation/AICommunication/Line00214,Não conseguiremos expandir até lá. /// We will not be able to expand to this location.=268
Conversation/AICommunication/Line00215,Protoss inimigo avistado. Preparem-se. /// Enemy protoss sighted. Prepare yourselves.=269
Conversation/AICommunication/Line00216,Forças terranas hostis detectadas. /// Hostile terran forces detected.=270
Conversation/AICommunication/Line00217,Uma força inimiga zerg foi descoberta. /// An enemy zerg force has been discovered.=271
Conversation/AICommunication/Line00218,Uma estrutura protoss. /// A protoss structure.=272
Conversation/AICommunication/Line00219,Forças protoss inimigas estão construindo aqui. /// Enemy protoss forces are building here.=273
Conversation/AICommunication/Line00220,As forças terranas se posicionaram aqui. /// The terran forces have positioned themselves here.=274
Conversation/AICommunication/Line00221,Os terranos construiram nesse lugar. /// The terrans have built upon this location.=275
Conversation/AICommunication/Line00222,Os zergs construiram sobre esse solo. /// The zerg have built upon this ground.=276
Conversation/AICommunication/Line00223,Essa estrutura pertence aos zergs. /// This structure belongs to the zerg.=277
Conversation/AICommunication/Line00224,Um quartel-geral inimigo. /// An enemy's headquarters.=278
Conversation/AICommunication/Line00225,Descobrimos uma base inimiga. /// We have discovered an enemy base.=279
Conversation/AICommunication/Line00226,Essa base pertence ao inimigo. /// This base belongs to the enemy.=280
Conversation/AICommunication/Line00227,O inimigo construiu uma base aqui. /// The enemy has built up a base here.=281
Conversation/AICommunication/Line00228,A base do inimigo é aqui. /// The enemy's base is here.=282
Conversation/AICommunication/Line00229,Nossos inimigos se reúnem aqui. /// Our enemies gather here.=283
Conversation/AICommunication/Line00230,Que estranho... Esta construção está longe da proteção inimiga. /// Odd, this building is far from the enemy's protection.=284
Conversation/AICommunication/Line00231,Há muito conhecimento a ser adquirido. /// There is much knowledge to be gained.=285
Conversation/AICommunication/Line00232,Pronto. Meu batedor está voltando. /// Done. My scout is returning.=286
Conversation/AICommunication/Line00233,Isso não é possível. /// That's not possible.=287
Conversation/AICommunication/Line00234,O Enxame revela todos os segredos. /// The Swarm reveals all secrets.=288
Conversation/AICommunication/Line00235,Esqueça, estou levando meu detector de volta. /// Nevermind, I'm taking my detector back.=289
Conversation/AICommunication/Line00236,Como eles se atrevem a matar minha nave-batedora? /// How dare they kill my scout!=290
Conversation/AICommunication/Line00237,Estou ocupada. Faremos o reconhecimento depois. /// I'm busy. We'll scout later.=291
Conversation/AICommunication/Line00238,Estou transmutando detectores agora mesmo. /// I'm morphing detection now.=292
Conversation/AICommunication/Line00239,Meu detector foi morto! /// My detector has been killed!=293
Conversation/AICommunication/Line00240,Esta expansão pertence ao Enxame. /// This expansion belongs to the Swarm.=294
Conversation/AICommunication/Line00241,Eu reivindico esse minério. /// I claim these minerals.=295
Conversation/AICommunication/Line00242,Temos que expandir. /// We must expand.=296
Conversation/AICommunication/Line00243,O Enxame cresce. /// The Swarm grows.=297
Conversation/AICommunication/Line00244,Transmutando uma incubadora agora. /// Mutating a hatchery now.=298
Conversation/AICommunication/Line00245,Coloquei uma incubadora aqui. /// I've placed a hatchery here.=299
Conversation/AICommunication/Line00246,Implantando uma incubadora. /// Implating a hatchery.=300
Conversation/AICommunication/Line00247,É impossível chegarmos lá. /// We cannot reach that location.=301
Conversation/AICommunication/Line00248,Não. Essa área não é adequada pra expansão. /// No. This area is not suitable for expansion.=302
Conversation/AICommunication/Line00249,Acabem com o inimigo! /// Vanquish the enemy!=303
Conversation/AICommunication/Line00250,Não vamos aguentar! Precisamos voltar à base! /// We cannot hold! We must return to base!=304
Conversation/AICommunication/Line00251,O inimigo é muito forte. Estamos nos reagrupando. /// The enemy is too strong. We are regrouping.=305
Conversation/AICommunication/Line00252,Eles são muito poderosos! Estou evacuando minhas tropas. /// They are too powerful! I am pulling back my troops.=306
Conversation/AICommunication/Line00253,Que nossos inimigos sintam o poder do khala! /// Let our enemies feel the might of the khala!=307
Conversation/AICommunication/Line00254,Ataquem agora, guerreiros! /// Strike now, warriors!=308
Conversation/AICommunication/Line00255,Lutem com toda sua força, filhos de Aiur! /// Fight with all you have, children of aiur!=309
Conversation/AICommunication/Line00256,A vitória está ao nosso alcance! Não fraquejem! /// Victory is within our grasp! Do not relent!=310
