Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Kerrigan Infested /// Kerrigan Infested
Conversation/DEBUG_FaceAnimTest/Line00046=Totalmente triste /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00047=Medio triste /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00048=Poco triste /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00049=Totalmente serio /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00050=Medio serio /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00051=Poco serio /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00052=Totalmente sorprendido /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00053=Medio sorprendido /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00054=Poco sorprendido /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00055=Totalmente enfadado /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00056=Medio enfadado /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00057=Poco enfadado /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00058=Totalmente asustado /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00059=Medio asustado /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00060=Poco asustado /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00061=Totalmente contento /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00062=Medio contento /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00063=Poco contento /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00064=Totalmente triste /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00065=Medio triste /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00066=Poco triste /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00067=Totalmente serio /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00068=Medio serio /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00069=Poco serio /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00070=Totalmente sorprendido /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00071=Medio sorprendido /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00072=Poco sorprendido /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00073=Totalmente enfadado /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00074=Medio enfadado /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00075=Poco enfadado /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00076=Totalmente asustado /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00077=Medio asustado /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00078=Poco asustado /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00079=Totalmente contento /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00080=Medio contento /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00081=Poco contento /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00082=Totalmente triste /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00083=Medio triste /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00084=Poco triste /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00085=Totalmente serio /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00086=Medio serio /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00087=Poco serio /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00088=Totalmente sorprendido /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00089=Medio sorprendido /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00090=Poco sorprendido /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00091=Totalmente enfadado /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00092=Medio enfadado /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00093=Poco enfadado /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00094=Totalmente asustado /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00095=Medio asustado /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00096=Poco asustado /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00097=Totalmente contento /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00098=Medio contento /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00099=Poco contento /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00100=Totalmente triste /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00101=Medio triste /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00102=Poco triste /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00103=Totalmente serio /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00104=Medio serio /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00105=Poco serio /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00106=Totalmente sorprendido /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00107=Medio sorprendido /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00108=Poco sorprendido /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00109=Totalmente enfadado /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00110=Medio enfadado /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00111=Poco enfadado /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00112=Totalmente asustado /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00113=Medio asustado /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00114=Poco asustado /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00115=Totalmente contento /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00116=Medio contento /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00117=Poco contento /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00118=Totalmente triste /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00119=Medio triste /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00120=Poco triste /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00121=Totalmente serio /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00122=Medio serio /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00123=Poco serio /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00124=Totalmente sorprendido /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00125=Medio sorprendido /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00126=Poco sorprendido /// Surprised minimum
Conversation/DEBUG_FaceAnimTest/Line00127=Totalmente enfadado /// Angry full
Conversation/DEBUG_FaceAnimTest/Line00128=Medio enfadado /// Angry half
Conversation/DEBUG_FaceAnimTest/Line00129=Poco enfadado /// Angry minimum
Conversation/DEBUG_FaceAnimTest/Line00130=Totalmente asustado /// Fear full
Conversation/DEBUG_FaceAnimTest/Line00131=Medio asustado /// Fear half
Conversation/DEBUG_FaceAnimTest/Line00132=Poco asustado /// Fear minimum
Conversation/DEBUG_FaceAnimTest/Line00133=Totalmente contento /// Happy full
Conversation/DEBUG_FaceAnimTest/Line00134=Medio contento /// Happy half
Conversation/DEBUG_FaceAnimTest/Line00135=Poco contento /// Happy minimum
Conversation/DEBUG_FaceAnimTest/Line00136=Totalmente triste /// Sad full
Conversation/DEBUG_FaceAnimTest/Line00137=Medio triste /// Sad half
Conversation/DEBUG_FaceAnimTest/Line00138=Poco triste /// Sad minimum
Conversation/DEBUG_FaceAnimTest/Line00139=Totalmente serio /// Serious full
Conversation/DEBUG_FaceAnimTest/Line00140=Medio serio /// Serious half
Conversation/DEBUG_FaceAnimTest/Line00141=Poco serio /// Serious minimum
Conversation/DEBUG_FaceAnimTest/Line00142=Totalmente sorprendido /// Surprised full
Conversation/DEBUG_FaceAnimTest/Line00143=Medio sorprendido /// Surprised half
Conversation/DEBUG_FaceAnimTest/Line00144=Poco sorprendido /// Surprised minimum
Conversation/FixedCondition/CharacterEnabled=El personaje ~INDEX~ está disponible (en el conjunto actual) /// Character ~INDEX~ is available (on current set)
Conversation/FixedCondition/CharacterUnlocked=El personaje ~INDEX~ es conocido /// Character ~INDEX~ is known
Conversation/FixedCondition/DoNotPlay=Do Not Play /// Do Not Play
Conversation/FixedCondition/KerriganAlive=Kerrigan está ~INDEX~ /// Kerrigan is ~INDEX~
Conversation/FixedCondition/LastMission=La última misión ha sido ~INDEX~ /// Last mission was ~INDEX~
Conversation/FixedCondition/MissionAvailable=La misión ~INDEX~ está disponible (jugable de ~VALUE01~ a ~VALUE02~ veces, 0=no) /// Mission ~INDEX~ is available (playable ~VALUE01~ to ~VALUE02~ times, 0=not)
Conversation/FixedCondition/MissionCompleted=La misión ~INDEX~ está completada (se hizo hace entre ~VALUE01~ y ~VALUE02~ misiones, 0=no) /// Mission ~INDEX~ is completed (did ~VALUE01~ to ~VALUE02~ missions ago, 0=not)
Conversation/FixedCondition/MissionCompletedCount=Misiones ~VALUE01~ a ~VALUE02~ completadas /// Completed ~VALUE01~ to ~VALUE02~ missions
Conversation/FixedCondition/ObjectiveCompleted=Objetivo ~INDEX~ completado /// Objective ~INDEX~ completed
Conversation/FixedCondition/PlanetActive=El jugador está en ~INDEX~ /// Player is on ~INDEX~
Conversation/FixedCondition/PlanetAvailable=Planeta ~INDEX~ disponible /// World ~INDEX~ available
Conversation/Name/Ambience=Ambiente /// Ambience
Conversation/Name/Coop_Transmissions=Coop_Transmissions /// Coop_Transmissions
Conversation/Name/DEBUG_FaceAnimTest=DEBUG_FaceAnimTest /// DEBUG_FaceAnimTest
Conversation/Name/zBriefing_Char01=zBriefing_Char01 /// zBriefing_Char01
Conversation/Name/zBriefing_Char02=zBriefing_Char02 /// zBriefing_Char02
Conversation/Name/zBriefing_Char03=zBriefing_Char03 /// zBriefing_Char03
Conversation/Name/zBriefing_Expedition01=zBriefing_Expedition01 /// zBriefing_Expedition01
Conversation/Name/zBriefing_Expedition022=zBriefing_Expedition02 /// zBriefing_Expedition02
Conversation/Name/zBriefing_Expedition03=zBriefing_Expedition03 /// zBriefing_Expedition03
Conversation/Name/zBriefing_Hybrid01=zBriefing_Hybrid01 /// zBriefing_Hybrid01
Conversation/Name/zBriefing_Hybrid02=zBriefing_Hybrid02 /// zBriefing_Hybrid02
Conversation/Name/zBriefing_Hybrid03=zBriefing_Hybrid03 /// zBriefing_Hybrid03
Conversation/Name/zBriefing_Korhal01=zBriefing_Korhal01 /// zBriefing_Korhal01
Conversation/Name/zBriefing_Korhal02=zBriefing_Korhal02 /// zBriefing_Korhal02
Conversation/Name/zBriefing_Korhal03=zBriefing_Korhal03 /// zBriefing_Korhal03
Conversation/Name/zBriefing_Lab01=zBriefing_Lab01 /// zBriefing_Lab01
Conversation/Name/zBriefing_Lab02=zBriefing_Lab02 /// zBriefing_Lab02
Conversation/Name/zBriefing_Lab03=zBriefing_Lab03 /// zBriefing_Lab03
Conversation/Name/zBriefing_Space01=zBriefing_Space01 /// zBriefing_Space01
Conversation/Name/zBriefing_Space02=zBriefing_Space02 /// zBriefing_Space02
Conversation/Name/zBriefing_Zerus01=zBriefing_Zerus01 /// zBriefing_Zerus01
Conversation/Name/zBriefing_Zerus02=zBriefing_Zerus02 /// zBriefing_Zerus02
Conversation/Name/zBriefing_Zerus03=zBriefing_Zerus03 /// zBriefing_Zerus03
Conversation/Name/zCutscene_Zerg01=zCutscene_Zerg01 /// zCutscene_Zerg01
Conversation/Name/zCutscene_Zerg02=zCutscene_Zerg02 /// zCutscene_Zerg02
Conversation/Name/zCutscene_Zerg03=zCutscene_Zerg03 /// zCutscene_Zerg03
Conversation/Name/zCutscene_Zerg04=zCutscene_Zerg04 /// zCutscene_Zerg04
Conversation/Name/zCutscene_Zerg05=zCutscene_Zerg05 /// zCutscene_Zerg05
Conversation/Name/zCutscene_Zerg07=zCutscene_Zerg07 /// zCutscene_Zerg07
Conversation/Name/zCutscene_Zerg08=zCutscene_Zerg08 /// zCutscene_Zerg08
Conversation/Name/zCutscene_Zerg09=zCutscene_Zerg09 /// zCutscene_Zerg09
Conversation/Name/zCutscene_Zerg10=zCutscene_Zerg10 /// zCutscene_Zerg10
Conversation/Name/zDebrief_Arc2=zDebrief_Arc2 /// zDebrief_Arc2
Conversation/Name/zDebrief_Arc4DoW=zDebrief_Arc4DoW /// zDebrief_Arc4DoW
Conversation/Name/zDebrief_Arc5DoW=zDebrief_Arc5DoW /// zDebrief_Arc5DoW
Conversation/Name/zDebrief_Arc6DoW=zDebrief_Arc6DoW /// zDebrief_Arc6DoW
Conversation/Name/zDebrief_Char01=zDebrief_Char01 /// zDebrief_Char01
Conversation/Name/zDebrief_Expedition01=zDebrief_Expedition01 /// zDebrief_Expedition01
Conversation/Name/zDebrief_Hybrid02=zDebrief_Hybrid02 /// zDebrief_Hybrid02
Conversation/Name/zDebrief_Hybrid03=zDebrief_Hybrid03 /// zDebrief_Hybrid03
Conversation/Name/zDebrief_Korhal01=zDebrief_Korhal01 /// zDebrief_Korhal01
Conversation/Name/zDebrief_Lab01=zDebrief_Lab01 /// zDebrief_Lab01
Conversation/Name/zDebrief_Mission5=zDebrief_Mission5 /// zDebrief_Mission5
Conversation/Name/zDebrief_Zerus02=zDebrief_Zerus02 /// zDebrief_Zerus02
Conversation/Name/zDoW_Arc4=zDoW_Arc4 /// zDoW_Arc4
Conversation/Name/zDoW_Confirmation=zDoW_Confirmation /// zDoW_Confirmation
Conversation/Name/zEvoBriefing_Baneling=zEvoBriefing_Baneling /// zEvoBriefing_Baneling
Conversation/Name/zEvoBriefing_EggMonster=zEvoBriefing_SwarmHost /// zEvoBriefing_SwarmHost
Conversation/Name/zEvoBriefing_Hydralisk=zEvoBriefing_Hydralisk /// zEvoBriefing_Hydralisk
Conversation/Name/zEvoBriefing_Mutalisk=zEvoBriefing_Mutalisk /// zEvoBriefing_Mutalisk
Conversation/Name/zEvoBriefing_Roach=zEvoBriefing_Roach /// zEvoBriefing_Roach
Conversation/Name/zEvoBriefing_Ultralisk=zEvoBriefing_Ultralisk /// zEvoBriefing_Ultralisk
Conversation/Name/zEvoBriefing_Zergling=zEvoBriefing_Zergling /// zEvoBriefing_Zergling
Conversation/Name/zEvoChoice=zEvoChoice /// zEvoChoice
Conversation/Name/zEvoMission_Baneling=zEvoMission_Baneling /// zEvoMission_Baneling
Conversation/Name/zEvoMission_EggMonster=zEvoMission_SwarmHost /// zEvoMission_SwarmHost
Conversation/Name/zEvoMission_Mutalisk=zEvoMission_Mutalisk /// zEvoMission_Mutalisk
Conversation/Name/zEvoMission_Roach=zEvoMission_Roach /// zEvoMission_Roach
Conversation/Name/zEvoMission_Ultralisk=zEvoMission_Ultralisk /// zEvoMission_Ultralisk
Conversation/Name/zEvoMission_Zergling=zEvoMission_Zergling /// zEvoMission_Zergling
Conversation/Name/zEvoPitch_Baneling=zEvoPitch_Baneling /// zEvoPitch_Baneling
Conversation/Name/zEvoPitch_EggMonster=zEvoPitch_SwarmHost /// zEvoPitch_SwarmHost
Conversation/Name/zEvoPitch_Hydralisk=zEvoPitch_Hydralisk /// zEvoPitch_Hydralisk
Conversation/Name/zEvoPitch_Mutalisk=zEvoPitch_Mutalisk /// zEvoPitch_Mutalisk
Conversation/Name/zEvoPitch_Roach=zEvoPitch_Roach /// zEvoPitch_Roach
Conversation/Name/zEvoPitch_Ultralisk=zEvoPitch_Ultralisk /// zEvoPitch_Ultralisk
Conversation/Name/zEvoPitch_Zergling=zEvoPitch_Zergling /// zEvoPitch_Zergling
Conversation/Name/zLabArc_Abilities=zLabArc_Abilities /// zLabArc_Abilities
Conversation/Name/zMission_Char01=zMission_Char01 /// zMission_Char01
Conversation/Name/zMission_Char02=zMission_Char02 /// zMission_Char02
Conversation/Name/zMission_Char03=zMission_Char03 /// zMission_Char03
Conversation/Name/zMission_Expedition01=zMission_Expedition01 /// zMission_Expedition01
Conversation/Name/zMission_Expedition02=zMission_Expedition02 /// zMission_Expedition02
Conversation/Name/zMission_Expedition03=zMission_Expedition03 /// zMission_Expedition03
Conversation/Name/zMission_Hybrid01=zMission_Hybrid01 /// zMission_Hybrid01
Conversation/Name/zMission_Korhal01=zMission_Korhal01 /// zMission_Korhal01
Conversation/Name/zMission_Korhal02=zMission_Korhal02 /// zMission_Korhal02
Conversation/Name/zMission_Korhal03=zMission_Korhal03 /// zMission_Korhal03
Conversation/Name/zMission_Lab01=zMission_Lab01 /// zMission_Lab01
Conversation/Name/zMission_Lab02=zMission_Lab02 /// zMission_Lab02
Conversation/Name/zMission_Lab03=zMission_Lab03 /// zMission_Lab03
Conversation/Name/zMission_MultiMissionCallouts=zMission_MultiMissionCallouts /// zMission_MultiMissionCallouts
Conversation/Name/zMission_Space01=zMission_Space01 /// zMission_Space01
Conversation/Name/zMission_Space02=zMission_Space02 /// zMission_Space02
Conversation/Name/zMission_Zerus01=zMission_Zerus01 /// zMission_Zerus01
Conversation/Name/zMission_Zerus02=zMission_Zerus02 /// zMission_Zerus02
Conversation/Name/zMission_Zerus03=zMission_Zerus03 /// zMission_Zerus03
Conversation/Name/zPitch_Char01=zPitch_Char01 /// zPitch_Char01
Conversation/Name/zPitch_Char01Travel=zPitch_Char01 Travel /// zPitch_Char01 Travel
Conversation/Name/zPitch_Char02=zPitch_Char02 /// zPitch_Char02
Conversation/Name/zPitch_Char03=zPitch_Char03 /// zPitch_Char03
Conversation/Name/zPitch_Expedition01=zPitch_Expedition01 /// zPitch_Expedition01
Conversation/Name/zPitch_Expedition01Travel=zPitch_Expedition01 Travel /// zPitch_Expedition01 Travel
Conversation/Name/zPitch_Expedition02=zPitch_Expedition02 /// zPitch_Expedition02
Conversation/Name/zPitch_Expedition03=zPitch_Expedition03 /// zPitch_Expedition03
Conversation/Name/zPitch_Hybrid01Travel=zPitch_Hybrid01 Travel /// zPitch_Hybrid01 Travel
Conversation/Name/zPitch_Hybrid02Travel=zPitch_Hybrid02 Travel /// zPitch_Hybrid02 Travel
Conversation/Name/zPitch_Korhal01=zPitch_Korhal01 /// zPitch_Korhal01
Conversation/Name/zPitch_Korhal01Travel=zPitch_Korhal01 Travel /// zPitch_Korhal01 Travel
Conversation/Name/zPitch_Korhal02=zPitch_Korhal02 /// zPitch_Korhal02
Conversation/Name/zPitch_Korhal03=zPitch_Korhal03 /// zPitch_Korhal03
Conversation/Name/zPitch_Lab01=zPitch_Lab01 /// zPitch_Lab01
Conversation/Name/zPitch_Lab03=zPitch_Lab03 /// zPitch_Lab03
Conversation/Name/zPitch_Space01=zPitch_Space01 /// zPitch_Space01
Conversation/Name/zPitch_Space01Travel=zPitch_Space01 Travel /// zPitch_Space01 Travel
Conversation/Name/zPitch_Space02=zPitch_Space02 /// zPitch_Space02
Conversation/Name/zPitch_Space02Travel=zPitch_Space02 Travel /// zPitch_Space02 Travel
Conversation/Name/zPitch_TAdjutantChar=zPitch_TAdjutantChar /// zPitch_TAdjutantChar
Conversation/Name/zPitch_TAdjutantExpedition=zPitch_TAdjutantExpedition /// zPitch_TAdjutantExpedition
Conversation/Name/zPitch_Zerus01=zPitch_Zerus01 /// zPitch_Zerus01
Conversation/Name/zPitch_Zerus01Travel=zPitch_Zerus01 Travel /// zPitch_Zerus01 Travel
Conversation/Name/zPitch_Zerus02=zPitch_Zerus02 /// zPitch_Zerus02
Conversation/Name/zPitch_Zerus03=zPitch_Zerus03 /// zPitch_Zerus03
Conversation/Name/zPrerender_KA=zPrerender_KA /// zPrerender_KA
Conversation/Name/zPrerender_ZI=zPrerender_ZI /// zPrerender_ZI
Conversation/Name/zScripted_EvolutionMaster_First=zScripted_EvolutionMaster_First /// zScripted_EvolutionMaster_First
Conversation/Name/zScripted_EvoMissionsUnlock=zScripted_EvoMissionsUnlock /// zScripted_EvoMissionsUnlock
Conversation/Name/zScripted_FourthArcAfter=zScripted_FourthArcAfter /// zScripted_FourthArcAfter
Conversation/Name/zScripted_Hybrid03Travel=zScripted_Hybrid03Travel /// zScripted_Hybrid03Travel
Conversation/Name/zScripted_HybridArcBefore=zScripted_HybridArcBefore /// zScripted_HybridArcBefore
Conversation/Name/zScripted_KorhalArcBefore=zScripted_KorhalArcBefore /// zScripted_KorhalArcBefore
Conversation/Name/zScripted_Space01Travel=zScripted_Space01Travel /// zScripted_Space01Travel
Conversation/Name/zScripted_ZAdjutantIntro=zScripted_ZAdjutantIntro /// zScripted_ZAdjutantIntro
Conversation/Name/zScripted_Zerus01Before=zScripted_Zerus01Before /// zScripted_Zerus01Before
Conversation/Name/zSM_CharFortress=zSM_CharFortress /// zSM_CharFortress
Conversation/Name/zSM_EvolutionMaster=zSM_EvolutionMaster /// zSM_EvolutionMaster
Conversation/Name/zSM_ExpeditionHatchery=zSM_ExpeditionHatchery /// zSM_ExpeditionHatchery
Conversation/Name/zSM_HybridLab=zSM_HybridLab /// zSM_HybridLab
Conversation/Name/zSM_Kerrigan=zSM_Kerrigan /// zSM_Kerrigan
Conversation/Name/zSM_KorhalPalace=zSM_KorhalPalace /// zSM_KorhalPalace
Conversation/Name/zSM_KorhalWorld=zSM_KorhalWorld /// zSM_KorhalWorld
Conversation/Name/zSM_PrimalZergAdvisor=zSM_PrimalZergAdvisor /// zSM_PrimalZergAdvisor
Conversation/Name/zSM_ProtossPrisoner=zSM_ProtossPrisoner /// zSM_ProtossPrisoner
Conversation/Name/zSM_RogueQueen=zSM_RogueQueen /// zSM_RogueQueen
Conversation/Name/zSM_Stukov=zSM_Stukov /// zSM_Stukov
Conversation/Name/zSM_Valerian=zSM_Valerian /// zSM_Valerian
Conversation/Name/zSM_Zeratul=zSM_Zeratul /// zSM_Zeratul
Conversation/Name/zSM_ZergAdjutant=zSM_ZergAdjutant /// zSM_ZergAdjutant
Conversation/Name/zSM_ZerusAncientOne=zSM_ZerusZurvan /// zSM_ZerusZurvan
Conversation/Name/zSMAmbient_CharFortress=zSMAmbient_CharFortress /// zSMAmbient_CharFortress
Conversation/Name/zSMAmbient_EvolutionMaster=zSMAmbient_EvolutionMaster /// zSMAmbient_EvolutionMaster
Conversation/Name/zSMAmbient_EvolutionMaster02=zSMAmbient_EvolutionMaster02 /// zSMAmbient_EvolutionMaster02
Conversation/Name/zSMAmbient_Idles=zSMAmbient_Idles /// zSMAmbient_Idles
Conversation/Name/zSMAmbient_Kerrigan=zSMAmbient_Kerrigan /// zSMAmbient_Kerrigan
Conversation/Name/zSMAmbient_PrimalZergAdvisor=zSMAmbient_PrimalZergAdvisor /// zSMAmbient_PrimalZergAdvisor
Conversation/Name/zSMAmbient_ProtossPrisoner=zSMAmbient_ProtossPrisoner /// zSMAmbient_ProtossPrisoner
Conversation/Name/zSMAmbient_RogueQueen=zSMAmbient_RogueQueen /// zSMAmbient_RogueQueen
Conversation/Name/zSMAmbient_Stukov=zSMAmbient_Stukov /// zSMAmbient_Stukov
Conversation/Name/zSMAmbient_UnitUpgrade=zSMAmbient_UnitUpgrade /// zSMAmbient_UnitUpgrade
Conversation/Name/zSMAmbient_Zeratul=zSMAmbient_Zeratul /// zSMAmbient_Zeratul
Conversation/Name/zSMAmbient_ZergAdjutant=zSMAmbient_ZergAdjutant /// zSMAmbient_ZergAdjutant
