Character/Description/Hill,This is the same character that appears in the Wings of Liberty campaign. (Already cast). A gruff mercenary captain who has had a hard life on the battlefield, he fights for profit and not for a cause.=0
Character/Name/ArtanisUI,아르타니스 /// Artanis=1
Conversation/AICommunication/Line00015,좋아, 다시 지휘를 시작한다.=162
Conversation/AICommunication/Line00016,밑져야 본전이지. 확인해 보겠다.=163
Conversation/AICommunication/Line00017,이 지역은 확인했다. 정찰병, 기지로 복귀한다.=164
Conversation/AICommunication/Line00018,병사들 훈련이 끝나면 바로 출동시키지.=165
Conversation/AICommunication/Line00019,그쪽으로는 갈 수가 없어, 친구.=166
Conversation/AICommunication/Line00020,지금은 좀 바빠. 금방 정찰병을 보내겠다.=167
Conversation/AICommunication/Line00021,젠장, 놈들이 건설로봇을 파괴했어. 새 로봇을 투입한다.=168
Conversation/AICommunication/Line00022,탐지기 이동 중.=169
Conversation/AICommunication/Line00023,밤까마귀, 기지로 복귀한다.=170
Conversation/AICommunication/Line00024,바로 밤까마귀를 생산한다.=171
Conversation/AICommunication/Line00025,밤까마귀가 당했다. 또 한 기를 투입한다!=172
Conversation/AICommunication/Line00026,우리가 저 확장 지역을 확보한다.=173
Conversation/AICommunication/Line00027,사령부를 건설한다.=174
Conversation/AICommunication/Line00028,갈 수가 없어.=175
Conversation/AICommunication/Line00029,우리의 상대는 프로토스인가 보군.=176
Conversation/AICommunication/Line00030,흠, 이번 상대는 테란이군.=177
Conversation/AICommunication/Line00031,여기 저그를 발견했다!=178
Conversation/AICommunication/Line00032,저건 프로토스 건물이야.=179
Conversation/AICommunication/Line00033,아, 어디서 많이 본 테란 건물이군.=180
Conversation/AICommunication/Line00034,저그 건물로 보인다.=181
Conversation/AICommunication/Line00035,적 기지를 발견한 것 같다.=182
Conversation/AICommunication/Line00036,전방에 적 발견.=183
Conversation/AICommunication/Line00037,이 건물은 대체 여기까지 나와 뭐 하는 거지?=184
Conversation/AICommunication/Line00038,우리는 전진한다.=185
Conversation/AICommunication/Line00039,알았다. 우리 전사들이 이동한다.=186
Conversation/AICommunication/Line00040,전사들이 더 필요하다. 준비되는 대로 공격하겠다.=187
Conversation/AICommunication/Line00041,아무도 지나가지 못하리라.=188
Conversation/AICommunication/Line00042,전사들이 소환되는 대로 방어에 나서겠다.=189
Conversation/AICommunication/Line00043,승리를 향해 전진하라!=190
Conversation/AICommunication/Line00044,후퇴하라!=191
Conversation/AICommunication/Line00045,전사들이 소환되는 대로 공격을 개시하겠다.=192
Conversation/AICommunication/Line00046,내가 지휘한다.=193
Conversation/AICommunication/Line00047,적이 은폐했다. 탐지기가 필요하다!=194
Conversation/AICommunication/Line00048,우리 병력이 공격받고 있다!=195
Conversation/AICommunication/Line00049,우리 정찰병이 이곳으로 이동하고 있다.=196
Conversation/AICommunication/Line00050,정찰병이 귀환한다.=197
Conversation/AICommunication/Line00051,최대한 빨리 정찰병을 보내겠다.=198
Conversation/AICommunication/Line00052,정찰병이 이곳으로 이동할 수 없다.=199
Conversation/AICommunication/Line00053,우리 정찰병이 당했다! 새로운 정찰병을 투입한다.=200
Conversation/AICommunication/Line00054,관측선이 이동 중이다.=201
Conversation/AICommunication/Line00055,탐지기를 기지로 돌려보낸다.=202
Conversation/AICommunication/Line00056,즉시 탐지기를 소환하겠다.=203
Conversation/AICommunication/Line00057,탐지기가 파괴됐다! 새로운 탐지기를 투입한다!=204
Conversation/AICommunication/Line00058,이곳은 최적의 확장 지역이다.=205
Conversation/AICommunication/Line00059,확장 지역을 확보했다. 연결체를 소환한다.=206
Conversation/AICommunication/Line00060,그곳으로는 병력을 이동할 수 없다.=207
Conversation/AICommunication/Line00061,상대는 프로토스다.=208
Conversation/AICommunication/Line00062,적 테란과 마주쳤다.=209
Conversation/AICommunication/Line00063,적 저그가 모습을 드러냈다.=210
Conversation/AICommunication/Line00064,적 프로토스 건물을 발견했다.=211
Conversation/AICommunication/Line00065,이 건물은 테란의 것이다.=212
Conversation/AICommunication/Line00066,이 건물에서 저그의 썩은 내가 진동한다.=213
Conversation/AICommunication/Line00067,적 기지를 발견했다.=214
Conversation/AICommunication/Line00068,적과 마주쳤다!=215
Conversation/AICommunication/Line00069,한 놈도 남기지 마라!=216
Conversation/AICommunication/Line00070,아직 준비가 안 됐다. 저그가 충분히 변태되면 바로 공격하겠다.=217
Conversation/AICommunication/Line00071,놈들이 깜짝 놀랄 공격을 선사해 주지.=218
Conversation/AICommunication/Line00072,병력이 충분치 않아. 병력을 확보하는 대로 방어에 나서겠다.=219
Conversation/AICommunication/Line00073,적의 약점을 찾아 공략한다.=220
Conversation/AICommunication/Line00074,군단을 기지로 돌려보낸다. 병력 손실이 너무 커.=221
Conversation/AICommunication/Line00075,이제 내 방식대로 한다.=222
Conversation/AICommunication/Line00076,적이 은폐를 사용한다!=223
Conversation/AICommunication/Line00077,우리 병력이 공격받고 있다!=224
Conversation/AICommunication/Line00078,프로토스가 싸움을 하고 싶은가 보군.=225
Conversation/AICommunication/Line00079,테란이 적이다.=226
Conversation/AICommunication/Line00080,적 무리가 우리에게 도전하는 건가?=227
Conversation/AICommunication/Line00081,동의한다. 부대가 준비되는 대로 공격을 개시하겠다.=228
Conversation/AICommunication/Line00082,프로토스 구조물을 발견했다.=229
Conversation/AICommunication/Line00083,여기 적 저그 군락지가 있다.=230
Conversation/AICommunication/Line00084,적 기지를 발견했다.=231
Conversation/AICommunication/Line00085,적과 마주쳤다!=232
Conversation/AICommunication/Line00086,왜 이런 곳에 구조물을 지은 거지?=233
Conversation/AICommunication/Line00087,정찰병이 출발했다.=234
Conversation/AICommunication/Line00088,정찰을 마쳤다. 정찰병은 기지로 귀환한다.=235
Conversation/AICommunication/Line00089,정찰병이 그 장소로 이동할 수 없다.=236
Conversation/AICommunication/Line00090,조금만 기다려. 최대한 빨리 정찰병을 보내겠다.=237
Conversation/AICommunication/Line00091,정찰병이 당했다! 새 정찰병을 투입한다.=238
Conversation/AICommunication/Line00092,탐지기를 다른 곳에 써야 한다.=239
Conversation/AICommunication/Line00093,무슨 일이 벌어지고 있는지 확인할 시간이다.=240
Conversation/AICommunication/Line00094,최대한 빨리 변태하겠다.=241
Conversation/AICommunication/Line00095,저들이 탐지기를 제거했다! 새 탐지기를 투입한다.=242
Conversation/AICommunication/Line00096,이 확장 지역을 차지한다.=243
Conversation/AICommunication/Line00097,군락지를 건설한다.=244
Conversation/AICommunication/Line00098,일벌레는 이곳으로 이동할 수 없다.=245
Conversation/AICommunication/Line00099,테란 건물이야...=246
Conversation/AICommunication/Line00100,특공대, 방어 태세로.=247
Conversation/AICommunication/Line00101,지금 부대원들이 훈련 중이야.=248
Conversation/AICommunication/Line00102,우리만 믿으라고.=249
Conversation/AICommunication/Line00103,출동한다. 멋지게 한번 해 보자고.=250
Conversation/AICommunication/Line00104,녀석들의 저항이 꽤 거세다.=251
Conversation/AICommunication/Line00105,부하들을 기지로 복귀시킨다.=252
Conversation/AICommunication/Line00106,기지로 돌아간다.=253
Conversation/AICommunication/Line00107,잘 들어라. 여길 공격한다! =254
Conversation/AICommunication/Line00108,녀석들의 신경을 좀 건드려 볼까!=255
Conversation/AICommunication/Line00109,여긴 정말 난리도 아니군.=256
Conversation/AICommunication/Line00110,자, 특공대. 다시 내 지휘에 따라 움직인다.=257
Conversation/AICommunication/Line00111,원래대로 돌아갈 시간이야.=258
Conversation/AICommunication/Line00112,정찰 완료.=259
Conversation/AICommunication/Line00113,확인 완료. 정찰병을 기지로 돌려보낸다.=260
Conversation/AICommunication/Line00114,정찰병을 보낸다.=261
Conversation/AICommunication/Line00115,정찰병이 출발했다.=262
Conversation/AICommunication/Line00116,정찰병이 갈 수 없는 지역이야.=263
Conversation/AICommunication/Line00117,순간이동 장치가 있는 게 아니라면, 거긴 포기하라고.=264
Conversation/AICommunication/Line00118,불가능해.=265
Conversation/AICommunication/Line00119,정찰병이 할 일을 다 마친 모양이군.=266
Conversation/AICommunication/Line00120,아, 지금은 곤란해, 조금만 기다려.=267
Conversation/AICommunication/Line00121,이런... 정찰병이 당했어.=268
Conversation/AICommunication/Line00122,놈들이 내 정찰병을 제거했어!=269
Conversation/AICommunication/Line00123,사령부를 이곳에 건설한다.=270
Conversation/AICommunication/Line00124,그건 아무래도 힘들 것 같군.=271
Conversation/AICommunication/Line00125,좋아, 확장 지역을 차지한다.=272
Conversation/AICommunication/Line00126,밤까마귀를 생산한다. 최대한 빨리.=273
Conversation/AICommunication/Line00127,내 밤까마귀가 격추됐어!=274
Conversation/AICommunication/Line00128,밤까마귀가 출발했다.=275
Conversation/AICommunication/Line00129,미안하지만 지금은 안 되겠어.=276
Conversation/AICommunication/Line00130,놈들의 기지가 여기 있다.=277
Conversation/AICommunication/Line00131,그냥 건물치곤 너무 나와 있는데, 안 그래?=278
Conversation/AICommunication/Line00132,여기에 자릴 잡았군.=279
Conversation/AICommunication/Line00133,하, 우리가 뭘 발견했는지 보라고.=280
Conversation/AICommunication/Line00134,적 기지를 발견했다.=281
Conversation/AICommunication/Line00135,나쁜 놈들이 여기 살림을 차렸나 보군.=282
Conversation/AICommunication/Line00136,이렇게 또 적을 발견하는군.=283
Conversation/AICommunication/Line00137,적이 모습을 드러낸 것 같다.=284
Conversation/AICommunication/Line00138,저건 저그 구조물이야.=285
Conversation/AICommunication/Line00139,테란 건물 발견. 우리 건 아니야.=286
Conversation/AICommunication/Line00140,여기 프로토스 구조물을 발견했다.=287
Conversation/AICommunication/Line00141,음, 여기 확실한 적, 프로토스를 발견했다.=288
Conversation/AICommunication/Line00142,여기 적대적인 테란을 발견했다.=289
Conversation/AICommunication/Line00143,아 이런, 저그잖아.=290
Conversation/AICommunication/Line00144,프로토스가 싸울 상대를 찾고 있군.=291
Conversation/AICommunication/Line00145,테란... 저들을 죽여라.=292
Conversation/AICommunication/Line00146,이 저그들에게 누가 여왕인지 깨우쳐 주마.=293
Conversation/AICommunication/Line00147,저건 프로토스 건물이다.=294
Conversation/AICommunication/Line00148,이 건물은 테란의 것이다.=295
Conversation/AICommunication/Line00149,이건 적 무리가 만든 구조물이야.=296
Conversation/AICommunication/Line00150,적 기지가 이곳에 있다.=297
Conversation/AICommunication/Line00151,이곳이 바로 적의 본진이다.=298
Conversation/AICommunication/Line00152,저기. 적의 기지야.=299
Conversation/AICommunication/Line00153,여기, 적 기지를 발견했다.=300
Conversation/AICommunication/Line00154,이상하군. 여기에 있을 구조물이 아닌데.=301
Conversation/AICommunication/Line00155,이 기지는 적의 것이다.=302
Conversation/AICommunication/Line00156,적 병력이 모습을 드러냈다.=303
Conversation/AICommunication/Line00157,적이다. 좋아, 심심하던 참이었는데.=304
Conversation/AICommunication/Line00158,군단은 이곳을 공략한다.=305
Conversation/AICommunication/Line00159,군단이 모두를 삼키리라!=306
Conversation/AICommunication/Line00160,아직 병력이 준비되지 않았다.=307
Conversation/AICommunication/Line00161,올 테면 오너라.=308
Conversation/AICommunication/Line00162,적들은 이곳에 온 걸 후회할 것이다.=309
Conversation/AICommunication/Line00163,특이하군. 이렇게 떨어진 곳에 건물이 있다니.=310
Conversation/AICommunication/Line00164,병력들이 준비할 시간이 필요하다.=311
Conversation/AICommunication/Line00165,나의 무리가 이곳에서 교전을 시작한다.=312
Conversation/AICommunication/Line00166,모조리 처치해라! 자비는 없다!=313
Conversation/AICommunication/Line00167,군락지로 돌아가야 한다.=314
Conversation/AICommunication/Line00168,모두 후퇴한다.=315
Conversation/AICommunication/Line00169,저그를 더 변태하고 있다. 준비가 끝나면 공격을 시작하겠다.=316
Conversation/AICommunication/Line00170,모두 내 명령을 들어라.=317
Conversation/AICommunication/Line00171,군단은 다시 내 것이 되었다.=318
Conversation/AICommunication/Line00172,탐지기가 필요하다.=319
Conversation/AICommunication/Line00173,적에게 압도당하고 있다!=320
Conversation/AICommunication/Line00174,지원군은 어디 있는 거냐?=321
Conversation/AICommunication/Line00175,정찰병을 투입한다.=322
Conversation/AICommunication/Line00176,동의한다. 병력이 이동 중이다.=323
Conversation/AICommunication/Line00178,지금 전사들을 준비하고 있다.=324
Conversation/AICommunication/Line00179,이곳에 방어선을 구축한다.=325
Conversation/AICommunication/Line00180,전사들이 더 필요하다.=326
Conversation/AICommunication/Line00181,우리 병력은 이곳을 공격하겠다.=327
Conversation/AICommunication/Line00182,이 전투는 승산이 없다.=328
Conversation/AICommunication/Line00183,전사들을 후퇴시켜야 한다.=329
Conversation/AICommunication/Line00184,이 전투는 패배했다. 후퇴한다.=330
Conversation/AICommunication/Line00185,추가 병력을 소환해야 한다.=331
Conversation/AICommunication/Line00186,부대 지휘를 재개한다.=332
Conversation/AICommunication/Line00187,적이 보이지 않는다. 탐지기가 있어야 한다.=333
Conversation/AICommunication/Line00188,지원군이 필요하다.=334
Conversation/AICommunication/Line00189,어서, 지원군을 보내라! 아직 승산이 있다!=335
Conversation/AICommunication/Line00190,칼라가 나를 인도하리니.=336
Conversation/AICommunication/Line00191,이 지역을 정찰하겠다.=337
Conversation/AICommunication/Line00192,정찰병을 파견했다.=338
Conversation/AICommunication/Line00194,정찰 임무 완료.=339
Conversation/AICommunication/Line00195,정찰병이 돌아온다.=340
Conversation/AICommunication/Line00196,그 장소로는 이동할 수 없다.=341
Conversation/AICommunication/Line00197,그 장소로 갈 수가 없다.=342
Conversation/AICommunication/Line00198,이 장소로는 이동할 수 없다. 가능해지는 대로 정찰병을 보내겠다.=343
Conversation/AICommunication/Line00199,우리 정찰병이 파괴됐다! 대체할 정찰병을 투입한다!=344
Conversation/AICommunication/Line00200,적이 우리 정찰병을 파괴했다! 다른 정찰병을 보내겠다.=345
Conversation/AICommunication/Line00201,요청한 대로 관측선을 투입한다.=346
Conversation/AICommunication/Line00202,관측선을 기지로 복귀시킨다.=347
Conversation/AICommunication/Line00203,관측선을 귀환시킨다.=348
Conversation/AICommunication/Line00204,곧 탐지기가 준비될 것이다.=349
Conversation/AICommunication/Line00205,저들이 우리의 탐지기를 파괴했다!=350
Conversation/AICommunication/Line00206,추가 자원을 확보해야 한다.=351
Conversation/AICommunication/Line00207,이 확장 지역을 확보하겠다.=352
Conversation/AICommunication/Line00208,차원 이동 시작. 연결체가 곧 도착할 것이다.=353
Conversation/AICommunication/Line00209,연결체 소환.=354
Conversation/AICommunication/Line00210,연결체 소환을 시작한다.=355
Conversation/AICommunication/Line00211,연결체 소환 좌표 확인.=356
Conversation/AICommunication/Line00212,차원 좌표 고정. 연결체 소환.=357
Conversation/AICommunication/Line00213,이곳으로는 이동할 수 없다.=358
Conversation/AICommunication/Line00214,이 장소에는 확장을 할 수 없다.=359
Conversation/AICommunication/Line00215,적 프로토스 확인. 교전을 준비하라.=360
Conversation/AICommunication/Line00216,적 테란 병력을 발견했다.=361
Conversation/AICommunication/Line00217,적 저그 병력을 발견했다.=362
Conversation/AICommunication/Line00218,프로토스 구조물이다.=363
Conversation/AICommunication/Line00219,적 프로토스가 이곳에 건물을 만들고 있다.=364
Conversation/AICommunication/Line00220,테란 병력이 이곳에 자리를 잡았다.=365
Conversation/AICommunication/Line00221,테란이 이곳에 건물을 만들었다.=366
Conversation/AICommunication/Line00222,저그가 이 지역에 건물을 만들었다.=367
Conversation/AICommunication/Line00223,이 구조물은 저그의 것이다.=368
Conversation/AICommunication/Line00224,적의 본진이다.=369
Conversation/AICommunication/Line00225,적의 기지를 발견했다.=370
Conversation/AICommunication/Line00226,이곳은 적의 기지다.=371
Conversation/AICommunication/Line00227,적이 이곳에 기지를 세웠다.=372
Conversation/AICommunication/Line00228,이곳에 적의 기지가 있다.=373
Conversation/AICommunication/Line00229,적들이 이곳에 결집한다!=374
Conversation/AICommunication/Line00230,이상하군, 이 건물은 방어가 허술하다.=375
Conversation/AICommunication/Line00231,알아내야 할 정보가 많다.=376
Conversation/AICommunication/Line00232,확인 완료. 정찰병을 돌려보낸다.=377
Conversation/AICommunication/Line00233,그건 불가능해.=378
Conversation/AICommunication/Line00234,군단은 모든 비밀을 밝힌다.=379
Conversation/AICommunication/Line00235,신경 쓰지 마. 내 탐지기를 가져갈 뿐이다.=380
Conversation/AICommunication/Line00236,감히 내 정찰병을 죽이다니!=381
Conversation/AICommunication/Line00237,지금은 여유가 없어. 정찰은 이따 시작하겠다.=382
Conversation/AICommunication/Line00238,지금 바로 탐지기를 변태한다.=383
Conversation/AICommunication/Line00239,탐지기가 적에게 당했다!=384
Conversation/AICommunication/Line00240,이 확장은 군단이 가져간다.=385
Conversation/AICommunication/Line00241,이 광물은 내가 갖는다.=386
Conversation/AICommunication/Line00242,확장을 해야 해.=387
Conversation/AICommunication/Line00243,군단이 자라난다.=388
Conversation/AICommunication/Line00244,부화장 변이 중.=389
Conversation/AICommunication/Line00245,이곳에 부화장을 건설했다.=390
Conversation/AICommunication/Line00246,부화장 건설 중.=391
Conversation/AICommunication/Line00247,그곳으로는 이동할 수 없다.=392
Conversation/AICommunication/Line00248,안 돼. 이곳은 확장에 적합하지 않다.=393
Conversation/AICommunication/Line00249,적들을 쳐부숴라!=394
Conversation/AICommunication/Line00250,버틸 수 없다! 기지로 돌아가야 한다!=395
Conversation/AICommunication/Line00251,적이 너무 강하다. 부대를 재정비한다.=396
Conversation/AICommunication/Line00252,저들은 너무 강력해! 병력을 퇴각한다.=397
Conversation/AICommunication/Line00253,적들에게 칼라의 힘을 보여 주자!=398
Conversation/AICommunication/Line00254,전사들이여, 공격하라!=399
Conversation/AICommunication/Line00255,혼신의 힘을 다해 싸워라, 아이어의 후예들이여!=400
Conversation/AICommunication/Line00256,승리가 눈앞이다! 공세를 늦추지 마라!=401
Conversation/AICommunication/Line00257,멈추지 마라! 영원한 영광을 위해, 끝까지 싸워라!=402
Conversation/AICommunication/Line00258,알았다. 병력을 이동한다.=403
Conversation/AICommunication/Line00259,이 공격에 모든 걸 건다! 쓸어 버리자!=404
Conversation/AICommunication/Line00260,올 것이 왔다! 이제 후퇴는 없다!=405
Conversation/AICommunication/Line00261,좋아, 작전을 시작한다!=406
Conversation/AICommunication/Line00262,자, 특공대. 이곳을 친다!=407
Conversation/AICommunication/Line00263,군단이 움직인다.=408
Conversation/AICommunication/Line00264,나의 무리가 가고 있다.=409
